Model,Dataset,Porosity,Permeability,Min_Local_Thickness,Mean_Local_Thickness,Max_Local_Thickness,Minkowski_Volume,Minkowski_Surface_Area,Minkowski_Mean_Curvature,Minkowski_Euler_Characteristic,Bias_Error_,Magnitude_Error_,Correlation
Ko et. al (Etapa 0),Spherical Pores,0.5221400462962963,568.2123413085938,1.0,7.435069575944726,10.891451493412363,897665.0,31603.664815892673,558.3988967004645,-67.1534388008366,0.8842496871948242,45.76301193237305,0.7787196857165222
Ko et. al (Etapa 0),Spherical Pores,0.5221400462962963,568.21240234375,1.0,7.435069575944727,10.891451493412363,897665.0,31603.664815892673,558.3988967004647,-67.1534388008366,2.6919198036193848,44.78445053100586,0.7863834909948757
Ko et. al (Etapa 0),Spherical Pores,0.5221400462962963,568.2122802734375,1.0,7.435069575944724,10.891451493412363,897665.0,31603.66481589268,558.3988967004647,-67.1534388008366,3.5123138427734375,43.37208938598633,0.7887633937623404
Ko et. al (Etapa 0),Spherical Pores,0.5221400462962963,568.21240234375,1.0,7.43506957594473,10.891451493412363,897665.0,31603.664815892673,558.3988967004645,-67.1534388008366,0.20297226309776306,45.01851272583008,0.7860020644672981
Ko et. al (Etapa 0),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034676,10.891451493412363,888368.0000000001,30611.4425011193,564.4520604255774,-54.66972295206605,9.553450584411621,45.27417755126953,0.8283065585817171
Ko et. al (Etapa 0),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034675,10.891451493412363,888368.0000000001,30611.4425011193,564.4520604255774,-54.66972295206605,12.405223846435547,45.1748161315918,0.8308714270254368
Ko et. al (Etapa 0),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034679,10.891451493412363,888368.0000000001,30611.442501119294,564.4520604255775,-54.66972295206605,9.00145435333252,44.5313835144043,0.8373413226948896
Ko et. al (Etapa 0),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034679,10.891451493412363,888368.0000000001,30611.442501119305,564.4520604255775,-54.66972295206605,11.9147310256958,43.120601654052734,0.8414976464130898
Ko et. al (Etapa 0),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613024,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,49.90243911743164,71.56697845458984,0.8351157593200781
Ko et. al (Etapa 0),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613022,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,59.90657424926758,77.13658142089844,0.8402306617038163
