Model,Dataset,Porosity,Permeability,Min_Local_Thickness,Mean_Local_Thickness,Max_Local_Thickness,Minkowski_Volume,Minkowski_Surface_Area,Minkowski_Mean_Curvature,Minkowski_Euler_Characteristic,Bias_Error_,Magnitude_Error_,Correlation,Angular_Error_Deg,Flux_Error,Tortuosity_Error_,Divergent_Residual_
Ko et. al (Etapas 3),Spherical Pores,0.5221400462962963,568.2123413085938,1.0,7.435069575944726,10.891451493412363,897665.0,31603.664815892673,558.3988967004645,-67.1534388008366,14.492039680480957,31.7967472076416,0.8918022041155443,38.9664306640625,0.32150766253471375,5.284984588623047,51.834224700927734
Ko et. al (Etapas 3),Spherical Pores,0.5221400462962963,568.21240234375,1.0,7.435069575944727,10.891451493412363,897665.0,31603.664815892673,558.3988967004647,-67.1534388008366,15.38386058807373,32.911380767822266,0.8977080016384715,39.71189880371094,0.4339582026004791,1.6566439867019653,52.06068801879883
Ko et. al (Etapas 3),Spherical Pores,0.5221400462962963,568.2122802734375,1.0,7.435069575944724,10.891451493412363,897665.0,31603.66481589268,558.3988967004647,-67.1534388008366,12.256593704223633,32.77873229980469,0.882946544552954,38.9985237121582,0.34661027789115906,2.929725408554077,51.34996795654297
Ko et. al (Etapas 3),Spherical Pores,0.5221400462962963,568.21240234375,1.0,7.43506957594473,10.891451493412363,897665.0,31603.664815892673,558.3988967004645,-67.1534388008366,13.622543334960938,31.482515335083008,0.8983517680608659,39.71037292480469,0.43924784660339355,0.36356550455093384,52.04798126220703
Ko et. al (Etapas 3),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034676,10.891451493412363,888368.0000000001,30611.4425011193,564.4520604255774,-54.66972295206605,19.125089645385742,33.01515579223633,0.9340596576567322,41.25148391723633,0.49158236384391785,3.694594621658325,51.05704116821289
Ko et. al (Etapas 3),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034675,10.891451493412363,888368.0000000001,30611.4425011193,564.4520604255774,-54.66972295206605,18.097797393798828,32.711891174316406,0.9375646859723009,40.809715270996094,0.46455663442611694,1.7523143291473389,51.07381057739258
Ko et. al (Etapas 3),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034679,10.891451493412363,888368.0000000001,30611.442501119294,564.4520604255775,-54.66972295206605,21.554641723632812,34.61875534057617,0.932666200921604,40.576454162597656,0.49340105056762695,3.3476920127868652,51.75904846191406
Ko et. al (Etapas 3),Spherical Pores,0.5167800925925926,686.1707763671875,1.0,7.556096185034679,10.891451493412363,888368.0000000001,30611.442501119305,564.4520604255775,-54.66972295206605,20.563161849975586,31.777116775512695,0.9418043072681899,40.53480529785156,0.43504971265792847,0.8054059147834778,51.05944061279297
Ko et. al (Etapas 3),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613024,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,4.647626876831055,35.445472717285156,0.8969573576487166,37.247283935546875,0.8209062218666077,4.49429988861084,50.88285446166992
Ko et. al (Etapas 3),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613022,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,3.376858711242676,37.61164093017578,0.8769282009671201,36.99011993408203,0.45487070083618164,5.215390205383301,51.72811508178711
