time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
50 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 3.5436515e-05 -2.9998465e-05 0.00014903168 656.62297 185.93146
100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.0102023e-05 -3.1258253e-05 0.00016829011 741.4742 209.9582
150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.1228893e-05 -3.3923884e-05 0.00017738365 781.53971 221.30328
200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2358158e-05 -3.4152605e-05 0.00018096098 797.30116 225.76634
250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.3527406e-05 -3.3637668e-05 0.0001812077 798.38819 226.07415
300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.4052747e-05 -3.3542396e-05 0.00017988236 792.54884 224.42066
350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.403408e-05 -3.3793848e-05 0.0001781093 784.73688 222.2086
400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.3831378e-05 -3.4105898e-05 0.00017649354 777.61795 220.19278
450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.3585149e-05 -3.4329551e-05 0.00017535047 772.58168 218.7667
500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.3324951e-05 -3.4459853e-05 0.00017471432 769.77885 217.97304
550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.3105553e-05 -3.4522423e-05 0.00017442089 768.48601 217.60695
600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.295492e-05 -3.4539419e-05 0.00017429903 767.94909 217.45492
650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2860984e-05 -3.4530246e-05 0.00017423437 767.66422 217.37425
700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2805084e-05 -3.4511344e-05 0.00017416986 767.37999 217.29377
750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2773925e-05 -3.4492654e-05 0.00017408867 767.02227 217.19248
800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2756848e-05 -3.4477993e-05 0.0001739954 766.61134 217.07611
850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2745985e-05 -3.4468105e-05 0.00017390112 766.19594 216.95849
900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2737051e-05 -3.4462294e-05 0.00017381388 765.81158 216.84965
950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2728493e-05 -3.4459282e-05 0.00017373632 765.46986 216.75289
