--- Launching simulation for Sample_00486 ---

    --------------------------------------------------------------
     Lattice Boltzmann Algorithm of the Grad Research Laboratory 
     Two Relaxation Times Model 
     Version: 0.1 
    --------------------------------------------------------------

Using module:                                    Permeability_pressure
Permeability computed on axis:                                       2
Pressure Differente:                                       -0.00260417
Convergence Tolerance (%):                                       1e-06
Saving permeability data on the file:                 permeability.csv

Paremeters filename (INI):                                    grad.ini
Geometry file:                                              domain.raw
Number of steps:                                              10000000
Number of recorded VTK files:                                        1
Initial density:                                                     1
Acceleration:                                                  [0 0 0]

Dimensions:                                              [120 120 120]
Fraction of fluid nodes:                                      0.283163


Collision Model: MRT
Relaxation Time:                                                   1.5
s_0:                                                                    0
s_1:                                                                    0
s_2:                                                                    0
s_3:                                                                    0
s_4:                                                                 1.19
s_5:                                                                  1.4
s_6:                                                                  1.2
s_7:                                                                  1.2
s_8:                                                                  1.2
s_9:                                                             0.666667
s_10:                                                                  1.4
s_11:                                                             0.666667
s_12:                                                                  1.4
s_13:                                                             0.666667
s_14:                                                             0.666667
s_15:                                                             0.666667
s_16:                                                                 1.98
s_17:                                                                 1.98
s_18:                                                                 1.98
Viscosity:                                                    0.333333

Step: 
    Timestep  Permeability (mDa)     Change (%)
-----------------------------------------------
          50       1294.90640611      1715.3378
         100       1438.46109725        11.0861
         150       1347.50628026         6.3231
         200       1174.91915344        12.8079
         250        998.03388681        15.0551
         300        854.33955291        14.3977
         350        766.20590599        10.3160
         400        725.63816266         5.2946
         450        712.86956420         1.7596
         500        713.03684330         0.0235
         550        717.41064465         0.6134
         600        721.10439793         0.5149
         650        722.61391595         0.2093
         700        722.39894131         0.0297
         750        721.36097009         0.1437
         800        720.15927710         0.1666
         850        719.10154043         0.1469
         900        718.24568970         0.1190
         950        717.52565814         0.1002
        1000        716.85426927         0.0936
        1050        716.18199231         0.0938
        1100        715.50445645         0.0946
        1150        714.84311767         0.0924
        1200        714.22418663         0.0866
        1250        713.66543935         0.0782
        1300        713.17190684         0.0692
        1350        712.73805983         0.0608
        1400        712.35285866         0.0540
        1450        712.00455888         0.0489
        1500        711.68368654         0.0451
        1550        711.38403992         0.0421
        1600        711.10232283         0.0396
        1650        710.83715987         0.0373
        1700        710.58808151         0.0350
        1750        710.35479665         0.0328
        1800        710.13682441         0.0307
        1850        709.93340877         0.0286
        1900        709.74359147         0.0267
        1950        709.56633468         0.0250
        2000        709.40062651         0.0234
        2050        709.24554314         0.0219
        2100        709.10026953         0.0205
        2150        708.96409263         0.0192
        2200        708.83638269         0.0180
        2250        708.71657353         0.0169
        2300        708.60414725         0.0159
        2350        708.49862458         0.0149
        2400        708.39955947         0.0140
        2450        708.30653636         0.0131
        2500        708.21916840         0.0123
        2550        708.13709580         0.0116
        2600        708.05998406         0.0109
        2650        707.98752200         0.0102
        2700        707.91941981         0.0096
        2750        707.85540721         0.0090
        2800        707.79523189         0.0085
        2850        707.73865802         0.0080
        2900        707.68546510         0.0075
        2950        707.63544679         0.0071
        3000        707.58840999         0.0066
        3050        707.54417387         0.0063
        3100        707.50256906         0.0059
        3150        707.46343681         0.0055
        3200        707.42662830         0.0052
        3250        707.39200395         0.0049
        3300        707.35943281         0.0046
        3350        707.32879195         0.0043
        3400        707.29996601         0.0041
        3450        707.27284664         0.0038
        3500        707.24733209         0.0036
        3550        707.22332678         0.0034
        3600        707.20074091         0.0032
        3650        707.17949010         0.0030
        3700        707.15949507         0.0028
        3750        707.14068127         0.0027
        3800        707.12297865         0.0025
        3850        707.10632134         0.0024
        3900        707.09064741         0.0022
        3950        707.07589864         0.0021
        4000        707.06202028         0.0020
        4050        707.04896082         0.0018
        4100        707.03667185         0.0017
        4150        707.02510780         0.0016
        4200        707.01422584         0.0015
        4250        707.00398567         0.0014
        4300        706.99434938         0.0014
        4350        706.98528130         0.0013
        4400        706.97674789         0.0012
        4450        706.96871758         0.0011
        4500        706.96116069         0.0011
        4550        706.95404927         0.0010
        4600        706.94735704         0.0009
        4650        706.94105928         0.0009
        4700        706.93513270         0.0008
        4750        706.92955543         0.0008
        4800        706.92430685         0.0007
        4850        706.91936759         0.0007
        4900        706.91471941         0.0007
        4950        706.91034514         0.0006
        5000        706.90622864         0.0006
        5050        706.90235471         0.0005
        5100        706.89870905         0.0005
        5150        706.89527820         0.0005
        5200        706.89204950         0.0005
        5250        706.88901104         0.0004
        5300        706.88615161         0.0004
        5350        706.88346065         0.0004
        5400        706.88092824         0.0004
        5450        706.87854503         0.0003
        5500        706.87630223         0.0003
        5550        706.87419157         0.0003
        5600        706.87220525         0.0003
        5650        706.87033596         0.0003
        5700        706.86857679         0.0002
        5750        706.86692126         0.0002
        5800        706.86536326         0.0002
        5850        706.86389704         0.0002
        5900        706.86251720         0.0002
        5950        706.86121865         0.0002
        6000        706.85999659         0.0002
        6050        706.85884653         0.0002
        6100        706.85776421         0.0002
        6150        706.85674565         0.0001
