Step	Permeability(mDa)
50	1294.91
100	1438.46
150	1347.51
200	1174.92
250	998.034
300	854.34
350	766.206
400	725.638
450	712.87
500	713.037
550	717.411
600	721.104
650	722.614
700	722.399
750	721.361
800	720.159
850	719.102
900	718.246
950	717.526
1000	716.854
1050	716.182
1100	715.504
1150	714.843
1200	714.224
1250	713.665
1300	713.172
1350	712.738
1400	712.353
1450	712.005
1500	711.684
1550	711.384
1600	711.102
1650	710.837
1700	710.588
1750	710.355
1800	710.137
1850	709.933
1900	709.744
1950	709.566
2000	709.401
2050	709.246
2100	709.1
2150	708.964
2200	708.836
2250	708.717
2300	708.604
2350	708.499
2400	708.4
2450	708.307
2500	708.219
2550	708.137
2600	708.06
2650	707.988
2700	707.919
2750	707.855
2800	707.795
2850	707.739
2900	707.685
2950	707.635
3000	707.588
3050	707.544
3100	707.503
3150	707.463
3200	707.427
3250	707.392
3300	707.359
3350	707.329
3400	707.3
3450	707.273
3500	707.247
3550	707.223
3600	707.201
3650	707.179
3700	707.159
3750	707.141
3800	707.123
3850	707.106
3900	707.091
3950	707.076
4000	707.062
4050	707.049
4100	707.037
4150	707.025
4200	707.014
4250	707.004
4300	706.994
4350	706.985
4400	706.977
4450	706.969
4500	706.961
4550	706.954
4600	706.947
4650	706.941
4700	706.935
4750	706.93
4800	706.924
4850	706.919
4900	706.915
4950	706.91
5000	706.906
5050	706.902
5100	706.899
5150	706.895
5200	706.892
5250	706.889
5300	706.886
5350	706.883
5400	706.881
5450	706.879
5500	706.876
5550	706.874
5600	706.872
5650	706.87
5700	706.869
5750	706.867
5800	706.865
5850	706.864
5900	706.863
5950	706.861
6000	706.86
6050	706.859
6100	706.858
6150	706.857
6200	706.856
6250	706.855
6300	706.854
6350	706.853
6400	706.852
6450	706.852
6500	706.851
6550	706.85
6600	706.85
6650	706.849
6700	706.849
6750	706.848
6800	706.848
6850	706.847
6900	706.847
6950	706.847
7000	706.846
7050	706.846
7100	706.846
7150	706.845
7200	706.845
7250	706.845
7300	706.845
7350	706.844
7400	706.844
7450	706.844
7500	706.844
7550	706.843
7600	706.843
7650	706.843
7700	706.843
7750	706.843
7800	706.843
7850	706.843
7900	706.842
7950	706.842
8000	706.842
8050	706.842
8100	706.842
8150	706.842
8200	706.842
8250	706.842
8300	706.842
8350	706.842
8400	706.842
8450	706.841
8500	706.841
8550	706.841
8600	706.841
8650	706.841
8700	706.841
8750	706.841
8800	706.841
8850	706.841
8900	706.841
8950	706.841
9000	706.841
9050	706.841
9100	706.841
9150	706.841
9200	706.841
9250	706.841
9300	706.841
9350	706.841
9400	706.841
9450	706.841
9500	706.841
9550	706.841
9600	706.841
9650	706.841
9700	706.841
9750	706.841
9800	706.841
9850	706.841
9900	706.841
9950	706.841
10000	706.841
10050	706.841
10100	706.841
10150	706.841
10200	706.841
10250	706.841
