time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
50 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 -nan -nan -nan -nan -nan
50 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 -nan -nan -nan -nan -nan
50 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 1.6413991e-05 5.3675228e-06 0.00030767676 1355.6019 383.85655
100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 5.4392804e-05 5.6558262e-06 0.00034349023 1513.3935 428.53733
150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 7.74404e-05 -3.2530932e-06 0.00032227051 1419.9009 402.06367
200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 7.4535886e-05 -1.02959e-05 0.00028137856 1239.7339 351.047
250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 6.8407561e-05 -1.8668908e-05 0.00023955256 1055.4515 298.86502
300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 6.2208016e-05 -2.6472844e-05 0.00020598781 907.5676 256.98974
350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 5.5251209e-05 -3.0934816e-05 0.00018562602 817.85501 231.58644
400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.9369803e-05 -3.3366026e-05 0.00017641575 777.27522 220.09573
450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.5671753e-05 -3.4433873e-05 0.00017367803 765.21301 216.68016
500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.3695021e-05 -3.4542463e-05 0.00017389429 766.16586 216.94997
550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2774409e-05 -3.4283118e-05 0.00017500351 771.05298 218.33383
600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2485492e-05 -3.3976037e-05 0.00017589869 774.99707 219.45064
650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2540746e-05 -3.3751084e-05 0.00017626711 776.62032 219.91029
700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2708922e-05 -3.3646596e-05 0.00017623663 776.48605 219.87227
750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2855356e-05 -3.3646134e-05 0.00017602262 775.54311 219.60527
800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.294366e-05 -3.3715147e-05 0.00017577519 774.45294 219.29657
850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2978797e-05 -3.3817551e-05 0.00017555966 773.50336 219.02768
900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.297456e-05 -3.3926325e-05 0.00017538411 772.72988 218.80866
950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.294716e-05 -3.4026447e-05 0.000175231 772.05529 218.61764
1000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2910533e-05 -3.4111396e-05 0.00017508123 771.39544 218.4308
1050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2873232e-05 -3.417996e-05 0.00017492616 770.71217 218.23732
1100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2839245e-05 -3.423384e-05 0.00017476772 770.01409 218.03965
1150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2810012e-05 -3.427576e-05 0.00017461308 769.33278 217.84673
1200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2785702e-05 -3.4308416e-05 0.00017446944 768.69989 217.66752
1250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2765842e-05 -3.4334067e-05 0.00017434109 768.13442 217.5074
1300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.27497e-05 -3.4354451e-05 0.00017422885 767.63991 217.36737
1350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2736509e-05 -3.4370851e-05 0.00017413092 767.20843 217.24519
1400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2725566e-05 -3.4384187e-05 0.00017404431 766.8268 217.13713
1450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2716264e-05 -3.4395109e-05 0.00017396603 766.48192 217.03947
1500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2708119e-05 -3.440408e-05 0.00017389382 766.16377 216.94938
1550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2700784e-05 -3.4411436e-05 0.00017382628 765.8662 216.86512
1600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2694031e-05 -3.4417427e-05 0.00017376272 765.58617 216.78583
1650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2687733e-05 -3.4422251e-05 0.00017370291 765.32263 216.7112
1700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2681828e-05 -3.4426075e-05 0.00017364678 765.07532 216.64117
1750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2676291e-05 -3.4429044e-05 0.00017359428 764.84402 216.57568
1800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2671115e-05 -3.4431292e-05 0.00017354531 764.62827 216.51458
1850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2666291e-05 -3.4432939e-05 0.00017349969 764.42726 216.45767
1900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2661807e-05 -3.4434092e-05 0.00017345718 764.23998 216.40463
1950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2657643e-05 -3.4434844e-05 0.00017341754 764.06533 216.35518
