time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
50 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 -2.5888235e-05 2.3995725e-05 0.00046003988 2026.9029 573.94431
100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 -1.1250917e-05 3.007132e-05 0.00052871103 2329.4631 659.61821
150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 2.6962153e-05 1.8791977e-05 0.0004355831 1919.1481 543.4321
200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 5.3189477e-05 1.5270604e-05 0.0003182598 1402.23 397.05992
250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.9810186e-05 4.8746646e-06 0.00023018397 1014.1742 287.1768
300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.1735871e-05 -8.5802599e-06 0.00017797493 784.14485 222.04096
350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 3.9009166e-05 -1.7064199e-05 0.00015607114 687.63831 194.71386
400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 3.7461858e-05 -2.2916176e-05 0.00015442335 680.37828 192.65809
450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 3.6704161e-05 -2.6631187e-05 0.00016236281 715.35894 202.56332
500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 3.7278629e-05 -2.8579807e-05 0.00017107354 753.73783 213.43081
550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 3.8478029e-05 -2.9678599e-05 0.0001764691 777.51029 220.1623
600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 3.9645109e-05 -3.0447528e-05 0.00017816069 784.96328 222.27271
650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.0584482e-05 -3.1033997e-05 0.00017735867 781.42966 221.27212
700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.1254438e-05 -3.1512748e-05 0.00017555597 773.48708 219.02307
750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.1675633e-05 -3.19328e-05 0.00017385226 765.98065 216.89753
