time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
1000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2739604e-05 -3.4285476e-05 0.00017379159 765.71335 216.82184
2000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2628585e-05 -3.4427918e-05 0.000172934 761.93485 215.75191
3000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2606063e-05 -3.4422744e-05 0.0001727229 761.00477 215.48854
4000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599703e-05 -3.4419954e-05 0.00017266527 760.75086 215.41664
5000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597852e-05 -3.4419174e-05 0.00017264996 760.6834 215.39754
6000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597296e-05 -3.4418988e-05 0.0001726464 760.66771 215.3931
7000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597117e-05 -3.4418963e-05 0.00017264602 760.66605 215.39263
8000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597049e-05 -3.4418976e-05 0.00017264644 760.66792 215.39316
9000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597016e-05 -3.4418995e-05 0.00017264701 760.67044 215.39387
10000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596994e-05 -3.4419013e-05 0.00017264757 760.67288 215.39456
11000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596978e-05 -3.4419027e-05 0.00017264807 760.67508 215.39518
12000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596965e-05 -3.4419039e-05 0.00017264851 760.67703 215.39574
13000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596953e-05 -3.4419049e-05 0.00017264891 760.67877 215.39623
14000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596943e-05 -3.4419057e-05 0.00017264926 760.68033 215.39667
15000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596934e-05 -3.4419063e-05 0.00017264958 760.68172 215.39707
16000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596926e-05 -3.4419067e-05 0.00017264986 760.68298 215.39742
17000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596919e-05 -3.4419071e-05 0.00017265012 760.68412 215.39775
18000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596913e-05 -3.4419074e-05 0.00017265036 760.68516 215.39804
19000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596908e-05 -3.4419077e-05 0.00017265057 760.68611 215.39831
20000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596903e-05 -3.4419079e-05 0.00017265077 760.68698 215.39855
21000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596899e-05 -3.441908e-05 0.00017265095 760.68778 215.39878
22000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2596895e-05 -3.4419081e-05 0.00017265112 760.68852 215.39899
