Dataset,Comp0_Ko_et_al_D3_N0,Comp0_Ko_et_al_D3_N1,Comp0_Ko_et_al_D3_N2,Comp0_Ko_et_al_D3_N3,Comp0_Ko_et_al_D3_N4
Bentheimer,27.20 (13.41-41.92),24.90 (12.80-38.51),23.38 (10.69-37.43),20.21 (9.18-34.08),19.10 (9.76-31.86)
Berea,28.22 (17.42-49.48),30.14 (18.62-48.86),30.50 (18.57-44.10),23.66 (12.55-44.15),27.86 (17.37-41.46)
Berea Buff,26.36 (11.34-39.47),21.76 (13.04-36.97),22.52 (12.79-35.40),21.43 (9.79-38.59),18.25 (9.80-33.53)
Berea Sinter Gray,29.91 (14.02-62.36),34.79 (16.46-62.55),28.77 (12.26-51.56),35.00 (15.02-63.47),26.97 (13.84-47.18)
Berea Upper Gray,27.18 (14.19-49.27),26.05 (12.41-44.77),26.53 (13.50-43.36),23.64 (12.28-46.87),23.10 (10.02-43.39)
Castle Gate,25.96 (12.37-46.56),24.53 (11.19-45.61),25.81 (12.29-42.38),22.74 (9.26-40.51),21.75 (13.07-37.04)
Cylindrical Grains,22.60 (9.36-40.18),23.92 (11.88-38.34),19.28 (10.37-32.77),21.21 (10.72-34.95),20.54 (10.23-38.27)
Cylindrical Pores,35.66 (24.91-43.25),31.77 (21.79-41.06),34.84 (25.43-43.91),32.51 (26.86-41.19),29.27 (17.75-36.21)
Leopard,40.67 (23.55-97.96),36.99 (20.14-94.20),35.39 (17.24-74.84),31.97 (18.69-100.81),29.49 (17.11-90.99)
Spherical Grains,22.55 (13.68-42.13),20.60 (10.61-36.41),22.03 (11.55-33.56),20.02 (10.54-35.47),19.22 (8.49-32.34)
Spherical Pores,6.85 (3.11-13.78),8.12 (2.58-14.99),8.63 (4.89-13.07),6.61 (2.94-11.25),8.59 (3.09-14.30)
