Dataset,Comp0_Ko_et_al_D3_N0,Comp0_Ko_et_al_D3_N1,Comp0_Ko_et_al_D3_N2,Comp0_Ko_et_al_D3_N3,Comp0_Ko_et_al_D3_N4
Bentheimer,0.813,0.836,0.85,0.864,0.859
Berea,0.778,0.808,0.831,0.844,0.833
Berea Buff,0.815,0.841,0.855,0.872,0.87
Berea Sinter Gray,0.749,0.783,0.804,0.822,0.802
Berea Upper Gray,0.715,0.748,0.772,0.786,0.754
Castle Gate,0.779,0.803,0.827,0.842,0.833
Cylindrical Grains,0.839,0.858,0.879,0.89,0.902
Cylindrical Pores,0.811,0.836,0.839,0.856,0.881
Leopard,0.712,0.733,0.756,0.768,0.74
Spherical Grains,0.833,0.852,0.869,0.875,0.878
Spherical Pores,0.918,0.93,0.936,0.94,0.943
