Dataset,Comp0_Ko_et_al_D3_N0,Comp0_Ko_et_al_D3_N1,Comp0_Ko_et_al_D3_N2,Comp0_Ko_et_al_D3_N3,Comp0_Ko_et_al_D3_N4
Bentheimer,63.336,62.292,60.34,58.204,57.094
Berea,68.903,66.701,63.181,57.374,55.175
Berea Buff,57.043,55.727,52.924,49.255,45.599
Berea Sinter Gray,92.072,93.583,81.468,83.125,74.907
Berea Upper Gray,107.264,97.039,87.329,83.094,79.915
Castle Gate,76.107,74.145,67.563,64.876,64.416
Cylindrical Grains,58.605,58.447,46.764,42.988,39.908
Cylindrical Pores,49.624,45.927,47.446,44.854,40.475
Leopard,805.994,757.095,652.523,602.315,619.02
Spherical Grains,94.6,85.067,78.807,73.464,75.359
Spherical Pores,28.256,28.402,25.905,24.455,24.189
