Dataset,Comp0_Ko_et_al_D3_N4,Comp0_Ko_et_al_D2_N4,Comp0_Ko_et_al_D1_N4,Comp0_Ko_et_al_D0_N4
Bentheimer,19.10 (9.76-31.86),21.13 (12.91-36.29),58.83 (44.50-70.31),62.76 (20.23-135.71)
Berea,27.86 (17.37-41.46),27.19 (17.27-47.54),63.09 (46.17-71.43),41.15 (18.21-143.38)
Berea Buff,18.25 (9.80-33.53),24.95 (10.59-46.40),49.89 (29.41-63.20),58.40 (28.92-133.98)
Berea Sinter Gray,26.97 (13.84-47.18),39.24 (20.02-70.57),48.39 (22.85-70.48),118.38 (34.79-244.83)
Berea Upper Gray,23.10 (10.02-43.39),26.08 (13.82-47.37),61.52 (38.26-75.28),44.07 (16.15-152.37)
Castle Gate,21.75 (13.07-37.04),23.80 (11.06-42.45),56.09 (39.32-68.97),51.95 (25.61-146.73)
Cylindrical Grains,20.54 (10.23-38.27),20.36 (10.30-35.32),31.53 (13.51-47.30),102.17 (56.02-188.67)
Cylindrical Pores,29.27 (17.75-36.21),32.55 (19.47-42.84),43.11 (35.70-60.19),42.89 (9.90-180.04)
Leopard,29.49 (17.11-90.99),34.32 (16.66-113.26),66.53 (48.91-80.32),110.29 (36.46-434.37)
Spherical Grains,19.22 (8.49-32.34),16.41 (8.88-30.82),34.88 (23.86-56.78),68.86 (30.89-156.25)
Spherical Pores,8.59 (3.09-14.30),6.71 (2.28-11.54),4.77 (1.79-12.01),28.80 (7.47-64.44)
