Dataset,Comp0_Ko_et_al_D3_N4,Comp0_Ko_et_al_D2_N4,Comp0_Ko_et_al_D1_N4,Comp0_Ko_et_al_D0_N4
Bentheimer,0.859,0.854,0.719,0.635
Berea,0.833,0.826,0.693,0.575
Berea Buff,0.87,0.857,0.751,0.664
Berea Sinter Gray,0.802,0.79,0.643,0.554
Berea Upper Gray,0.754,0.758,0.629,0.502
Castle Gate,0.833,0.826,0.694,0.617
Cylindrical Grains,0.902,0.888,0.796,0.747
Cylindrical Pores,0.881,0.864,0.798,0.738
Leopard,0.74,0.737,0.589,0.534
Spherical Grains,0.878,0.878,0.78,0.699
Spherical Pores,0.943,0.943,0.946,0.88
