Dataset,Comp0_Ko_et_al_D3_N4,Comp0_Ko_et_al_D2_N4,Comp0_Ko_et_al_D1_N4,Comp0_Ko_et_al_D0_N4
Bentheimer,57.094,62.084,69.389,141.387
Berea,55.175,62.695,77.254,162.715
Berea Buff,45.599,56.808,64.994,149.473
Berea Sinter Gray,74.907,94.49,84.279,275.979
Berea Upper Gray,79.915,92.08,104.688,294.99
Castle Gate,64.416,71.917,80.49,162.821
Cylindrical Grains,39.908,54.423,55.174,202.837
Cylindrical Pores,40.475,45.488,55.281,75.395
Leopard,619.02,779.832,510.408,3193.709
Spherical Grains,75.359,80.766,75.907,220.929
Spherical Pores,24.189,24.375,23.449,60.822
