Dataset,Comp0_Javier_Santos_D0_N4,Comp0_Javier_Santos_D1_N4,Comp0_Javier_Santos_D2_N4,Comp0_Javier_Santos_D3_N4
Bentheimer,659.145,47.333,65.789,93.533
Berea,992.689,75.139,54.721,92.924
Berea Buff,637.403,51.533,66.115,92.017
Berea Sinter Gray,1504.144,144.439,57.264,86.829
Berea Upper Gray,2469.11,396.939,103.072,90.608
Castle Gate,818.324,50.796,64.007,93.59
Cylindrical Grains,506.388,43.934,82.016,95.595
Cylindrical Pores,224.044,44.119,81.674,98.574
Leopard,11447.733,1645.383,584.498,217.913
Spherical Grains,1048.274,149.959,88.741,93.826
Spherical Pores,193.273,25.002,85.732,99.483
