Dataset,Comp0_Javier_Santos_D0_N4,Comp0_Javier_Santos_D1_N4,Comp0_Javier_Santos_D2_N4,Comp0_Javier_Santos_D3_N4
Bentheimer,0.559,0.707,0.373,0.166
Berea,0.47,0.633,0.28,0.075
Berea Buff,0.598,0.738,0.374,0.182
Berea Sinter Gray,0.459,0.592,0.285,0.095
Berea Upper Gray,0.417,0.578,0.245,0.067
Castle Gate,0.536,0.684,0.347,0.125
Cylindrical Grains,0.713,0.818,0.498,0.223
Cylindrical Pores,0.712,0.852,0.437,0.255
Leopard,0.451,0.537,0.275,0.128
Spherical Grains,0.647,0.767,0.462,0.198
Spherical Pores,0.844,0.94,0.533,0.006
