Dataset,Comp0_Javier_Santos_D0_N4,Comp0_Javier_Santos_D1_N4,Comp0_Javier_Santos_D2_N4,Comp0_Javier_Santos_D3_N4
Bentheimer,478.19,66.937,76.674,92.884
Berea,676.897,80.534,71.806,90.639
Berea Buff,471.589,65.55,77.557,92.646
Berea Sinter Gray,1092.029,126.224,71.256,87.371
Berea Upper Gray,1440.881,234.111,93.502,89.446
Castle Gate,581.801,71.328,75.436,92.025
Cylindrical Grains,393.253,57.315,85.41,94.006
Cylindrical Pores,117.172,48.685,89.891,97.386
Leopard,9128.138,1328.546,430.49,190.072
Spherical Grains,679.984,113.151,88.329,93.714
Spherical Pores,129.812,29.283,88.049,96.642
