,Comp5_Ko_et_al_D3,Comp5_Ko_et_al_D3,Comp5_Ko_et_al_D3,Comp5_Ko_et_al_D3,Comp5_Ko_et_al_D3,Comp5_Ko_et_al_D3
,Bias_Error_,Correlation,Angular_Error_Deg,Flux_Error,Tortuosity_Error_,Divergent_Residual_
Dataset,,,,,,
Bentheimer,18.54 (8.20-31.58),0.92 (0.85-0.94),28.48 (24.94-32.05),0.66 (0.54-0.82),3.68 (1.65-7.12),40.93 (37.60-43.90)
Berea,22.99 (13.18-41.61),0.91 (0.79-0.94),35.16 (31.52-40.35),0.68 (0.56-0.84),6.34 (3.06-10.20),42.92 (40.70-46.98)
Berea Buff,17.01 (9.38-33.25),0.91 (0.85-0.94),29.84 (25.16-33.65),0.74 (0.61-0.91),3.55 (1.96-5.89),40.71 (39.51-44.48)
Berea Sinter Gray,29.23 (13.53-45.78),0.85 (0.77-0.93),37.18 (33.09-41.47),0.80 (0.61-1.08),6.12 (2.67-12.17),44.87 (42.35-48.14)
Berea Upper Gray,19.20 (9.36-44.34),0.85 (0.70-0.93),40.57 (34.81-47.61),0.72 (0.58-0.93),7.60 (3.48-14.21),45.28 (42.14-49.27)
Castle Gate,19.90 (11.97-34.61),0.90 (0.81-0.95),30.92 (27.06-35.66),0.70 (0.51-0.90),4.44 (2.53-7.37),41.24 (39.34-44.14)
Cylindrical Grains,18.72 (8.38-37.27),0.93 (0.90-0.95),18.59 (12.62-26.18),0.64 (0.42-0.84),1.99 (0.69-4.77),40.71 (37.69-44.39)
Cylindrical Pores,30.95 (21.83-37.24),0.91 (0.86-0.94),33.96 (18.52-43.37),0.50 (0.42-0.59),4.32 (1.82-8.09),42.41 (38.64-51.37)
Leopard,27.48 (16.50-90.62),0.87 (0.63-0.93),36.52 (32.16-41.25),0.98 (0.71-1.49),5.75 (3.01-10.12),45.09 (42.14-48.86)
Spherical Grains,18.42 (9.02-29.49),0.95 (0.92-0.96),19.20 (15.71-26.13),0.63 (0.51-0.87),1.72 (0.79-3.50),39.91 (35.88-45.25)
Spherical Pores,6.49 (3.51-12.92),0.96 (0.92-0.98),20.99 (14.82-33.79),0.36 (0.27-0.49),1.76 (0.90-2.78),32.79 (26.66-39.85)
