Dataset,Sample,Standard_Timesteps,NN_Started_Timesteps,Standard_Permeability,NN_Permeability,Speedup_Ratio,Perm_Error [%]
256³ Sandstone,Sample_00002,2000,2200.0,430.19272,427.8623,0.9090909090909091,0.5417153502737108
256³ Sandstone,Sample_00010,1400,1400.0,780.70816,777.15944,1.0,0.45455141649858033
256³ Sandstone,Sample_00015,1400,1200.0,649.91747,648.46705,1.1666666666666667,0.22316987416879383
256³ Sandstone,Sample_00018,1200,1400.0,509.26453,513.603,0.8571428571428571,0.8519089283520241
256³ Sandstone,Sample_00019,1800,2400.0,376.50229,377.60387,0.75,0.292582549763497
256³ Sandstone,Sample_00022,1200,1800.0,582.45326,585.94356,0.6666666666666666,0.5992412163681679
256³ Sandstone,Sample_00024,800,800.0,625.05616,630.26211,1.0,0.8328771609898269
256³ Sandstone,Sample_00029,1200,800.0,580.09029,575.08007,1.5,0.8636965807512489
256³ Sandstone,Sample_00030,1200,1400.0,618.58174,619.48836,0.8571428571428571,0.14656430045930152
256³ Sandstone,Sample_00032,1400,600.0,308.49805,307.69288,2.3333333333333335,0.2609967874999455
256³ Sandstone,Sample_00035,1600,1400.0,531.77114,528.45749,1.1428571428571428,0.6231346063646739
256³ Sandstone,Sample_00037,1000,1400.0,664.34486,667.23482,0.7142857142857143,0.4350090102300142
256³ Sandstone,Sample_00038,1200,600.0,706.57415,700.79885,2.0,0.8173664434228192
256³ Sandstone,Sample_00044,1400,600.0,707.4635,701.30445,2.3333333333333335,0.870582015891983
256³ Sandstone,Sample_00046,1600,600.0,401.88623,405.76223,2.6666666666666665,0.9644520540054274
256³ Sandstone,Sample_00047,1200,1000.0,691.11246,685.20272,1.2,0.855105404987208
256³ Sandstone,Sample_00051,1200,1800.0,426.15872,430.15495,0.6666666666666666,0.9377327771211553
256³ Sandstone,Sample_00054,1200,800.0,767.23455,770.96999,1.5,0.48687067077467244
256³ Sandstone,Sample_00055,800,600.0,640.41141,645.88156,1.3333333333333333,0.8541618582342231
256³ Sandstone,Sample_00056,3800,3200.0,632.65911,627.34446,1.1875,0.8400495489585266
256³ Sandstone,Sample_00058,1200,200.0,639.61271,640.79727,6.0,0.18519957178462465
256³ Sandstone,Sample_00059,1800,2000.0,577.96167,580.99492,0.9,0.524818540302154
256³ Sandstone,Sample_00060,1200,1200.0,877.97104,877.84784,1.0,0.01403235350450706
256³ Sandstone,Sample_00061,3200,2800.0,657.35322,653.73372,1.1428571428571428,0.5506172161140424
256³ Sandstone,Sample_00062,800,600.0,1155.0277,1157.025,1.3333333333333333,0.1729222597864965
256³ Pre-salt,Sample_00042,4800,4000.0,59.131602,59.062055,1.2,0.11761392833564703
256³ Pre-salt,Sample_00060,5800,1000.0,94.435856,95.194791,5.8,0.803651316508418
256³ Pre-salt,Sample_00082,5600,1400.0,17.672296,17.704638,4.0,0.18300961006990757
256³ I.C Doddington,Sample_00000,2000,2000.0,444.44851,442.25992,1.0,0.4924282455126189
256³ I.C Doddington,Sample_00003,1400,800.0,704.31696,704.4943,1.75,0.02517900463449841
256³ I.C Doddington,Sample_00013,2800,2400.0,376.07438,374.3125,1.1666666666666667,0.46849242960927545
256³ I.C Doddington,Sample_00021,800,1200.0,249.45987,250.10376,0.6666666666666666,0.2581136597241067
256³ I.C Doddington,Sample_00024,2000,1200.0,748.36415,744.10056,1.6666666666666667,0.5697213047952687
256³ I.C Estaillades,Sample_00006,12200,13000.0,59.548507,59.993951,0.9384615384615385,0.7480355468861746
256³ I.C Estaillades,Sample_00017,3400,3400.0,391.78389,393.02182,1.0,0.31597266544063507
256³ I.C Estaillades,Sample_00019,4000,3400.0,80.589877,79.800343,1.1764705882352942,0.9796937647640327
256³ I.C Estaillades,Sample_00020,7600,6800.0,80.366038,79.805368,1.1176470588235294,0.6976454407270914
256³ I.C Ketton,Sample_00000,2400,2600.0,121.85836,122.76684,0.9230769230769231,0.745521275684325
256³ I.C Ketton,Sample_00011,2000,2000.0,151.16814,150.56085,1.0,0.40173147595783487
256³ I.C Ketton,Sample_00018,4600,4800.0,89.461118,89.584383,0.9583333333333334,0.13778611619855177
256³ I.C Ketton,Sample_00020,3800,3000.0,25.051891,24.989009,1.2666666666666666,0.25100699983087854
256³ I.C Ketton,Sample_00021,3000,3200.0,204.30306,204.08802,0.9375,0.10525539852412769
256³ I.C Ketton,Sample_00023,800,600.0,1260.4216,1250.5081,1.3333333333333333,0.7865225413464738
256³ I.C Ketton,Sample_00024,2600,2600.0,510.79396,512.40541,1.0,0.3154794547687944
