Dataset,Sample,Standard_Timesteps,NN_Started_Timesteps,Standard_Permeability,NN_Permeability,Speedup_Ratio,Perm_Error [%]
Spherical Pores,Sample_0014,800,600.0,1116.8968,1121.9327,1.3333333333333333,0.4508831970867929
Spherical Pores,Sample_0100,200,200.0,3812.9811,3808.7341,1.0,0.1113826659146001
Spherical Pores,Sample_0016,1200,800.0,1694.2045,1690.8192,1.5,0.19981649204686583
Spherical Pores,Sample_0005,1200,800.0,751.78344,747.41084,1.5,0.5816302630981116
Spherical Pores,Sample_0029,1600,1400.0,1141.4924,1144.3324,1.1428571428571428,0.2487971010582215
Spherical Pores,Sample_0056,800,600.0,5475.0994,5472.6312,1.3333333333333333,0.04508046009174284
Spherical Pores,Sample_0013,800,600.0,1116.8968,1118.6982,1.3333333333333333,0.16128616359184286
Spherical Pores,Sample_0042,600,400.0,2150.3146,2141.5675,1.5,0.406782337803038
Spherical Pores,Sample_0098,200,200.0,3522.8759,3514.9879,1.0,0.2239079724607932
Spherical Pores,Sample_0120,600,200.0,10520.866,10509.427,3.0,0.10872679112157027
Spherical Pores,Sample_0007,1200,800.0,751.78344,747.98497,1.5,0.5052611959635697
Spherical Pores,Sample_0058,800,600.0,5475.0994,5473.4681,1.3333333333333333,0.029794892856191985
Spherical Pores,Sample_0119,400,200.0,9269.4662,9274.1672,2.0,0.05071489445637239
Spherical Pores,Sample_0044,600,400.0,2363.5579,2361.9663,1.5,0.06733915847797695
Spherical Pores,Sample_0045,600,400.0,2363.5579,2357.4485,1.5,0.25848319603255004
Spherical Pores,Sample_0038,600,200.0,1152.4408,1143.2532,3.0,0.7972296711466632
Spherical Pores,Sample_0040,600,200.0,2150.3146,2141.0934,3.0,0.42883027441658783
Spherical Pores,Sample_0076,200,200.0,3327.8474,3310.1234,1.0,0.5325965367282214
Spherical Pores,Sample_0046,600,400.0,2363.5579,2362.0834,1.5,0.06238476324188239
Spherical Pores,Sample_0097,200,200.0,3522.8759,3514.1663,1.0,0.24722982719885583
Spherical Pores,Sample_0047,600,400.0,2363.5579,2363.4963,1.5,0.0026062403633098454
Spherical Pores,Sample_0118,400,200.0,9269.4662,9272.9254,2.0,0.037318222272597824
Spherical Pores,Sample_0103,200,200.0,3812.9811,3808.8043,1.0,0.10954158676527888
Spherical Pores,Sample_0009,1400,1200.0,1336.7765,1326.5605,1.1666666666666667,0.7642264806420441
Spherical Pores,Sample_0079,200,200.0,3327.8474,3311.9463,1.0,0.47781938558841497
Spherical Pores,Sample_0122,600,200.0,10520.866,10508.865,3.0,0.11406855671386941
Spherical Pores,Sample_0000,1200,800.0,637.76846,640.46535,1.5,0.4228634950056858
Spherical Pores,Sample_0101,200,200.0,3812.9811,3808.2229,1.0,0.12478949869433553
Spherical Pores,Sample_0030,1600,1200.0,1141.4924,1142.6627,1.3333333333333333,0.10252367865086069
Spherical Pores,Sample_0085,600,600.0,4545.553,4535.982,1.0,0.2105574393258623
Spherical Grains,Sample_0000,1800,3800.0,725.41981,722.37002,0.47368421052631576,0.4204172477727111
Spherical Grains,Sample_0112,400,200.0,4678.7311,4671.1321,2.0,0.1624158310786478
Spherical Grains,Sample_0030,1000,400.0,288.99783,289.88252,2.5,0.3061234058400984
Spherical Grains,Sample_0088,800,600.0,3619.1783,3600.1781,1.3333333333333333,0.5249865694652278
Spherical Grains,Sample_0050,400,200.0,1015.2048,1012.4536,2.0,0.27099950670051265
Spherical Grains,Sample_0117,600,200.0,5400.7584,5402.6891,3.0,0.035748682999778104
Spherical Grains,Sample_0037,1000,600.0,324.34551,322.15449,1.6666666666666667,0.6755203733204078
Spherical Grains,Sample_0123,800,200.0,1691.8388,1691.3901,4.0,0.026521439276597572
Spherical Grains,Sample_0094,800,400.0,1933.4504,1928.5858,2.0,0.25160200644401753
Spherical Grains,Sample_0011,600,400.0,946.85996,947.53161,1.5,0.07093446004412307
Spherical Grains,Sample_0042,600,400.0,1189.7556,1183.547,1.5,0.5218382666154237
Spherical Grains,Sample_0041,600,400.0,1189.7556,1183.7168,1.5,0.5075664279285627
Spherical Grains,Sample_0070,800,200.0,1583.8121,1576.5444,4.0,0.45887387777881633
Spherical Grains,Sample_0001,800,600.0,725.41981,722.54964,1.3333333333333333,0.3956564130775571
Spherical Grains,Sample_0029,1000,600.0,288.99783,288.02038,1.6666666666666667,0.3382205326593743
Spherical Grains,Sample_0085,400,400.0,1230.8847,1238.7009,1.0,0.6350066744675582
Spherical Grains,Sample_0098,200,400.0,4202.9778,4236.4425,0.5,0.796214055663117
Spherical Grains,Sample_0058,600,200.0,1188.3641,1183.3622,3.0,0.42090635353255607
Spherical Grains,Sample_0079,600,400.0,1817.5987,1818.6757,1.5,0.059254003647779795
Spherical Grains,Sample_0103,600,400.0,1510.3155,1506.8149,1.5,0.23177938649241497
Spherical Grains,Sample_0092,800,600.0,1933.4504,1928.1292,1.3333333333333333,0.2752178178452296
Spherical Grains,Sample_0033,1600,1400.0,384.4515,382.21037,1.1428571428571428,0.5829421916678692
Spherical Grains,Sample_0091,800,600.0,3619.1783,3600.1826,1.3333333333333333,0.5248622318496976
Spherical Grains,Sample_0022,400,400.0,4091.1129,4084.7868,1.0,0.1546302963186429
Spherical Grains,Sample_0034,1600,1200.0,384.4515,383.82533,1.3333333333333333,0.16287360044114846
Leopard,Sample_0123,1000,400.0,409.42356,407.04338,2.5,0.5813490557309393
Leopard,Sample_0101,2200,2200.0,696.87083,695.44423,1.0,0.2047151263312324
Leopard,Sample_0267,800,200.0,583.20327,580.60739,4.0,0.44510724365450927
Leopard,Sample_0254,800,400.0,639.11402,637.03351,2.0,0.325530333382454
Leopard,Sample_0191,1800,1400.0,327.97806,327.00841,1.2857142857142858,0.2956447757511589
Leopard,Sample_0164,2400,2200.0,127.02897,126.44031,1.0909090909090908,0.4634061033479248
Leopard,Sample_0160,1400,600.0,82.855473,82.473745,2.3333333333333335,0.46071549190239924
Leopard,Sample_0090,2400,1200.0,137.07319,136.36796,2.0,0.5144915646889083
Leopard,Sample_0217,1200,800.0,487.96997,487.35914,1.5,0.12517778501819785
Leopard,Sample_0002,1400,800.0,459.66149,459.49233,1.75,0.036800994575384924
Leopard,Sample_0216,1200,800.0,487.96997,486.94099,1.5,0.21086953363134006
Leopard,Sample_0163,1400,600.0,82.855473,82.227963,2.3333333333333335,0.757354918485591
Leopard,Sample_0138,1600,800.0,244.63455,243.10103,2.0,0.6268615778106492
Leopard,Sample_0120,1000,400.0,409.42356,406.58271,2.5,0.6938657853495263
Leopard,Sample_0001,1400,1000.0,459.66149,459.74492,1.4,0.018150313179371273
CastleGate,Sample_0191,600,200.0,506.03943,506.06911,3.0,0.0058651556065585
CastleGate,Sample_0260,600,200.0,1486.2338,1488.6947,3.0,0.1655796012713503
CastleGate,Sample_0262,600,200.0,1486.2338,1488.5271,3.0,0.1543027752430368
CastleGate,Sample_0180,600,400.0,1599.2552,1593.8737,1.5,0.3365003909319763
CastleGate,Sample_0238,600,400.0,748.67713,743.73002,1.5,0.6607801683484129
CastleGate,Sample_0236,600,600.0,748.67713,741.57339,1.0,0.9488389207240798
CastleGate,Sample_0164,800,600.0,741.73814,743.21245,1.3333333333333333,0.19876421616932705
CastleGate,Sample_0009,1200,800.0,827.01249,821.52826,1.5,0.6631375059401958
CastleGate,Sample_0256,1400,600.0,207.77876,207.87558,2.3333333333333335,0.0465976406828148
CastleGate,Sample_0247,1000,600.0,256.3465,254.2243,1.6666666666666667,0.8278638483458882
CastleGate,Sample_0135,2800,2400.0,264.85158,263.17554,1.1666666666666667,0.6328223528060509
CastleGate,Sample_0195,600,400.0,455.06316,453.40823,1.5,0.36367039687413477
CastleGate,Sample_0215,3000,1400.0,134.99487,134.85354,2.142857142857143,0.10469286721782999
CastleGate,Sample_0190,600,200.0,506.03943,506.16441,3.0,0.0246976801787943
CastleGate,Sample_0188,600,200.0,506.03943,507.73639,3.0,0.33534145748286653
CastleGate,Sample_0045,600,400.0,560.869,556.2784,1.5,0.8184798945921409
CastleGate,Sample_0066,800,400.0,729.47329,728.55442,2.0,0.12596348798459364
CastleGate,Sample_0209,800,200.0,874.66356,875.28051,4.0,0.07053569260391825
Berea Upper Gray,Sample_0023,1800,1400.0,99.050006,99.739251,1.2857142857142858,0.695855586318692
Berea Upper Gray,Sample_0107,1800,1200.0,282.8743,284.14987,1.5,0.45093173893846705
Berea Upper Gray,Sample_0040,2600,1400.0,157.09211,155.61566,1.8571428571428572,0.9398626067216234
Berea Upper Gray,Sample_0132,1000,600.0,572.15201,570.01702,1.6666666666666667,0.3731508345133693
Berea Upper Gray,Sample_0125,1800,1600.0,346.19842,346.61163,1.125,0.11935640838568597
Berea Upper Gray,Sample_0122,1400,600.0,303.55592,306.23881,2.3333333333333335,0.8838206812108906
Berea Upper Gray,Sample_0120,1400,400.0,303.55592,303.9639,3.5,0.1344002778796108
Berea Upper Gray,Sample_0191,2000,800.0,225.62219,224.70273,2.5,0.40752197290523007
Berea Upper Gray,Sample_0214,4000,3600.0,33.655394,33.724974,1.1111111111111112,0.20674249126307057
Berea Upper Gray,Sample_0131,1600,1000.0,240.78958,238.61651,1.6,0.9024767599993304
Berea Upper Gray,Sample_0138,1200,800.0,559.61449,554.88934,1.5,0.8443580508431971
Berea Upper Gray,Sample_0076,6400,5400.0,35.915689,35.90288,1.1851851851851851,0.03566407983986381
Berea Upper Gray,Sample_0030,2000,1400.0,543.56757,541.78612,1.4285714285714286,0.3277329440385973
Berea Upper Gray,Sample_0021,1800,1400.0,99.050006,99.932949,1.2857142857142858,0.8914113543819446
Berea Upper Gray,Sample_0223,600,400.0,355.20587,352.85847,1.5,0.6608561958731125
Berea Sinter Gray,Sample_0183,1200,1000.0,1274.692,1273.9822,1.2,0.05568403975235481
Berea Sinter Gray,Sample_0067,1200,400.0,273.43606,271.26539,3.0,0.7938492092081684
Berea Sinter Gray,Sample_0159,1400,1200.0,104.98984,104.69666,1.1666666666666667,0.27924606800049095
Berea Sinter Gray,Sample_0182,1200,1000.0,1274.692,1274.1451,1.2,0.042904482023896795
Berea Sinter Gray,Sample_0143,1600,1000.0,217.29413,216.92485,1.6,0.1699447656501367
Berea Sinter Gray,Sample_0081,2200,1800.0,357.24365,358.45409,1.2222222222222223,0.33882757608147984
Berea Sinter Gray,Sample_0140,1600,800.0,217.29413,217.1667,2.0,0.05864401399154406
Berea Sinter Gray,Sample_0152,1400,800.0,431.74663,427.46322,1.75,0.9921119708566118
Berea Sinter Gray,Sample_0154,1400,800.0,431.74663,428.82618,1.75,0.6764268200541507
Berea Sinter Gray,Sample_0077,1200,200.0,239.46873,241.71525,6.0,0.9381266606291369
Berea Sinter Gray,Sample_0111,2200,800.0,167.5448,166.36492,2.75,0.7042176182131568
Berea Sinter Gray,Sample_0189,2200,1400.0,166.91591,165.32212,1.5714285714285714,0.9548460659022764
Berea Sinter Gray,Sample_0034,1600,600.0,188.30591,188.4344,2.6666666666666665,0.06823471446010342
Berea,Sample_0080,1000,400.0,396.4287,392.52297,2.5,0.9852288696555032
Berea,Sample_0107,3400,3400.0,104.12298,104.25024,1.0,0.12222085845027372
Berea,Sample_0101,1200,400.0,301.61583,299.62311,3.0,0.6606815033547874
Berea,Sample_0048,1200,400.0,357.78172,355.56131,3.0,0.6206046524679951
Berea,Sample_0111,1200,600.0,349.62395,349.13302,2.0,0.1404165818731788
Berea,Sample_0118,2200,1600.0,266.42037,266.24511,1.375,0.0657832582395934
Berea,Sample_0165,3000,2400.0,127.193,128.30507,1.25,0.8743169828528321
Berea,Sample_0012,1200,400.0,200.09902,198.53319,3.0,0.7825275705997987
Berea,Sample_0019,800,200.0,837.76551,831.78326,4.0,0.7140721274142581
Bentheimer,Sample_0159,600,400.0,832.34793,834.25802,1.5,0.229482158981277
Bentheimer,Sample_0057,1400,1000.0,218.29013,219.88582,1.4,0.7309950294133731
Bentheimer,Sample_0276,2000,1400.0,327.0384,326.02673,1.4285714285714286,0.30934287838982755
Bentheimer,Sample_0105,1000,600.0,886.90204,882.11428,1.6666666666666667,0.539829629887879
Bentheimer,Sample_0164,800,400.0,628.43626,626.67115,2.0,0.2808733538067864
Bentheimer,Sample_0294,1600,1200.0,605.55573,607.1054,1.3333333333333333,0.2559087336189506
Bentheimer,Sample_0304,400,200.0,1013.8007,1009.9032,2.0,0.3844443981938498
Bentheimer,Sample_0167,800,400.0,628.43626,626.06345,2.0,0.37757369379035494
Bentheimer,Sample_0180,1800,1200.0,315.50291,312.61493,1.5,0.9153576428185625
Bentheimer,Sample_0274,4000,3400.0,120.26341,119.29557,1.1764705882352942,0.8047668031365446
Bentheimer,Sample_0070,1200,400.0,598.59765,598.70484,3.0,0.01790685279167834
Bentheimer,Sample_0265,600,400.0,1805.7635,1796.1968,1.5,0.5297869848404889
Bentheimer,Sample_0042,1000,400.0,619.28926,619.83541,2.5,0.08818980648881453
Bentheimer,Sample_0201,600,600.0,2479.419,2480.9623,1.0,0.06224442097121431
Bentheimer,Sample_0071,1200,200.0,598.59765,601.41198,6.0,0.4701538671259279
Bentheimer,Sample_0359,1200,800.0,500.35652,500.17887,1.5,0.03550468374030011
Bentheimer,Sample_0349,1200,1000.0,582.80133,580.45615,1.2,0.4023978462780837
Bentheimer,Sample_0029,600,600.0,3355.2307,3344.3109,1.0,0.3254560111172124
Bentheimer,Sample_0031,600,600.0,3355.2307,3344.7597,1.0,0.3120798817202049
Bentheimer,Sample_0002,2000,1000.0,405.94231,403.90854,2.0,0.5009997602861362
Bentheimer,Sample_0337,400,200.0,818.57087,811.64119,2.0,0.846558343812059
Bentheimer,Sample_0079,1200,1000.0,499.72163,499.52374,1.2,0.03960004693013377
