Dataset,Sample,Standard_Timesteps,NN_Started_Timesteps,Standard_Permeability,NN_Permeability,Speedup_Ratio,Perm_Error [%]
Tol 1%,Sample_0011,2000,1400.0,283.48244,284.33008,1.4285714285714286,0.29900970232936214
Tol 1%,Sample_0012,3000,2600.0,263.75132,261.45984,1.1538461538461537,0.8688032348046771
Tol 1%,Sample_0013,3000,2400.0,263.75132,262.41936,1.25,0.5050060033822912
Tol 1%,Sample_0015,3000,2400.0,263.75132,261.65664,1.25,0.7941874944929335
Tol 1%,Sample_0020,1800,1400.0,99.050006,99.462645,1.2857142857142858,0.416596643113781
Tol 1%,Sample_0021,1800,1400.0,99.050006,99.932949,1.2857142857142858,0.8914113543819446
Tol 1%,Sample_0022,1800,1600.0,99.050006,99.485015,1.125,0.439181195001652
Tol 1%,Sample_0023,1800,1400.0,99.050006,99.739251,1.2857142857142858,0.695855586318692
Tol 1%,Sample_0024,1400,800.0,327.95732,326.83186,1.75,0.3431727030822107
Tol 1%,Sample_0025,1400,800.0,327.95732,327.45977,1.75,0.15171181420801638
Tol 1%,Sample_0026,1400,600.0,327.95732,325.85351,2.3333333333333335,0.6414889595999728
Tol 1%,Sample_0027,1400,600.0,327.95732,326.69073,2.3333333333333335,0.38620574164955607
Tol 1%,Sample_0028,2000,1600.0,543.56757,544.85757,1.25,0.2373210013246308
Tol 1%,Sample_0029,2000,1600.0,543.56757,544.52917,1.25,0.17690532935950828
Tol 1%,Sample_0030,2000,1400.0,543.56757,541.78612,1.4285714285714286,0.3277329440385973
Tol 1%,Sample_0031,2000,1400.0,543.56757,543.12699,1.4285714285714286,0.08105340059195734
Tol 1%,Sample_0032,2600,1800.0,273.18406,273.1229,1.4444444444444444,0.022387836244901173
Tol 1%,Sample_0033,2600,1800.0,273.18406,271.67668,1.4444444444444444,0.5517818279734228
Tol 1%,Sample_0034,2600,1800.0,273.18406,273.17757,1.4444444444444444,0.0023756876590768986
Tol 1%,Sample_0035,2600,2000.0,273.18406,272.21204,1.3,0.3558113895810709
Tol 1%,Sample_0040,2600,1400.0,157.09211,155.61566,1.8571428571428572,0.9398626067216234
Tol 1%,Sample_0041,2600,1400.0,157.09211,155.69763,1.8571428571428572,0.8876830287657269
Tol 1%,Sample_0042,2600,1400.0,157.09211,155.93831,1.8571428571428572,0.7344735518543801
Tol 1%,Sample_0050,1200,1000.0,291.80732,289.00937,1.2,0.958834754385193
Tol 1%,Sample_0055,800,600.0,489.25619,485.31897,1.3333333333333333,0.8047358583240459
Tol 1%,Sample_0060,1600,800.0,201.97034,203.66046,2.0,0.8368159403999654
Tol 1%,Sample_0061,1600,800.0,201.97034,201.43795,2.0,0.2635981104948342
Tol 1%,Sample_0062,1600,1000.0,201.97034,202.87783,1.6,0.44931844943173127
Tol 1%,Sample_0074,2600,1400.0,113.18198,112.49537,1.8571428571428572,0.6066425061657357
Tol 1%,Sample_0076,6400,5400.0,35.915689,35.90288,1.1851851851851851,0.03566407983986381
Tol 1%,Sample_0077,6400,5800.0,35.915689,35.833843,1.103448275862069,0.22788369728894453
Tol 1%,Sample_0078,6400,5200.0,35.915689,35.574394,1.2307692307692308,0.9502671659730719
Tol 1%,Sample_0079,6400,5600.0,35.915689,35.943211,1.1428571428571428,0.07662946407626373
Tol 1%,Sample_0084,1000,200.0,432.5973,429.79285,5.0,0.6482819009734991
Tol 1%,Sample_0092,1400,200.0,424.7167,421.78748,7.0,0.6896879731830622
Tol 1%,Sample_0094,1400,600.0,424.7167,422.09417,2.3333333333333335,0.6174774855803842
Tol 1%,Sample_0095,1400,600.0,424.7167,421.786,2.3333333333333335,0.6900364407615716
Tol 0.01%,Sample_0004,800,600.0,389.01373,388.67346,1.3333333333333333,0.08746992040615952
Tol 0.01%,Sample_0005,800,600.0,389.01373,388.94651,1.3333333333333333,0.01727959576131677
Tol 0.01%,Sample_0006,800,600.0,389.01373,388.53649,1.3333333333333333,0.12267947457792679
Tol 0.01%,Sample_0007,800,600.0,389.01373,388.65067,1.3333333333333333,0.09332832545525285
Tol 0.01%,Sample_0008,4400,2800.0,270.22346,269.04417,1.5714285714285714,0.4364128858389943
Tol 0.01%,Sample_0009,4400,3000.0,270.22346,268.83832,1.4666666666666666,0.5125905796632085
Tol 0.01%,Sample_0010,4400,3400.0,270.22346,269.02301,1.2941176470588236,0.44424344207567673
Tol 0.01%,Sample_0011,4400,3400.0,270.22346,269.07356,1.2941176470588236,0.4255367021057322
Tol 0.01%,Sample_0012,4600,3600.0,253.9334,251.78901,1.2777777777777777,0.8444694553768884
Tol 0.01%,Sample_0013,4600,3400.0,253.9334,251.66125,1.3529411764705883,0.8947818601255331
Tol 0.01%,Sample_0014,4600,3600.0,253.9334,251.67479,1.2777777777777777,0.8894497533605286
Tol 0.01%,Sample_0015,4600,3400.0,253.9334,251.74125,1.3529411764705883,0.8632775365509217
Tol 0.01%,Sample_0016,7600,4400.0,103.4355,102.76761,1.7272727272727273,0.6457067447829805
Tol 0.01%,Sample_0017,7600,3800.0,103.4355,102.76952,2.0,0.6438601833993209
Tol 0.01%,Sample_0018,7600,3600.0,103.4355,102.73948,2.111111111111111,0.6729024367842803
Tol 0.01%,Sample_0019,7600,3800.0,103.4355,102.75047,2.0,0.662277457932719
Tol 0.01%,Sample_0020,2600,2800.0,97.123213,97.914573,0.9285714285714286,0.8148000622672947
Tol 0.01%,Sample_0021,2600,3600.0,97.123213,98.034291,0.7222222222222222,0.938064106260559
Tol 0.01%,Sample_0022,2600,3000.0,97.123213,97.845285,0.8666666666666667,0.7434597535400699
Tol 0.01%,Sample_0023,2600,3200.0,97.123213,97.949824,0.8125,0.8510951959548535
Tol 0.01%,Sample_0024,2400,1600.0,320.3144,319.93657,1.5,0.11795598324644799
Tol 0.01%,Sample_0025,2400,1600.0,320.3144,319.91671,1.5,0.12415614159087278
Tol 0.01%,Sample_0026,2400,1200.0,320.3144,319.90947,2.0,0.1264164208664921
Tol 0.01%,Sample_0027,2400,1200.0,320.3144,319.91649,2.0,0.1242248241103015
Tol 0.01%,Sample_0028,4000,3400.0,519.9045,520.04971,1.1764705882352942,0.027930129475705643
Tol 0.01%,Sample_0029,4000,3600.0,519.9045,520.18404,1.1111111111111112,0.05376756692815647
Tol 0.01%,Sample_0030,4000,3400.0,519.9045,520.03678,1.1764705882352942,0.025443134267935177
Tol 0.01%,Sample_0031,4000,3600.0,519.9045,520.28731,1.1111111111111112,0.0736308302774958
Tol 0.01%,Sample_0032,4200,3200.0,263.5446,262.95405,1.3125,0.22407971933403587
Tol 0.01%,Sample_0033,4200,3000.0,263.5446,262.95436,1.4,0.22396209218477417
Tol 0.01%,Sample_0034,4200,3200.0,263.5446,262.96802,1.3125,0.21877890876913378
Tol 0.01%,Sample_0035,4200,3400.0,263.5446,262.98449,1.2352941176470589,0.21252949216186132
Tol 0.01%,Sample_0040,5600,3200.0,148.67539,147.54493,1.75,0.7603544877198569
Tol 0.01%,Sample_0041,5600,3400.0,148.67539,147.60819,1.6470588235294117,0.717805414870602
Tol 0.01%,Sample_0042,5600,3400.0,148.67539,147.56068,1.6470588235294117,0.7497609389153124
Tol 0.01%,Sample_0043,5600,3000.0,148.67539,147.59437,1.8666666666666667,0.7271008335676774
Tol 0.01%,Sample_0048,2400,1600.0,283.33459,281.93124,1.5,0.4952978032085631
Tol 0.01%,Sample_0049,2400,1400.0,283.33459,281.86529,1.7142857142857142,0.5185741705592585
Tol 0.01%,Sample_0050,2400,1600.0,283.33459,281.76338,1.5,0.5545422463243926
Tol 0.01%,Sample_0051,2400,1600.0,283.33459,281.89097,1.5,0.5095106813467463
Tol 0.01%,Sample_0052,2400,1600.0,473.21659,471.34407,1.5,0.3957004127856144
Tol 0.01%,Sample_0053,2400,1600.0,473.21659,471.49968,1.5,0.3628169502679491
Tol 0.01%,Sample_0054,2400,1400.0,473.21659,471.41552,1.7142857142857142,0.38060161838366263
Tol 0.01%,Sample_0055,2400,1800.0,473.21659,471.51709,1.3333333333333333,0.3591378738433495
Tol 0.01%,Sample_0060,3800,2600.0,194.71865,194.21147,1.4615384615384615,0.2604681164336366
Tol 0.01%,Sample_0061,3800,2400.0,194.71865,194.22024,1.5833333333333333,0.25596418216745387
Tol 0.01%,Sample_0062,3800,2600.0,194.71865,194.02703,1.4615384615384615,0.3551893976257541
Tol 0.01%,Sample_0063,3800,2800.0,194.71865,194.24855,1.3571428571428572,0.24142525638915543
Tol 0.01%,Sample_0065,2200,200.0,314.56722,311.49623,11.0,0.9762587468586188
Tol 0.01%,Sample_0066,2200,600.0,314.56722,311.4798,3.6666666666666665,0.9814817958463722
Tol 0.01%,Sample_0067,2200,200.0,314.56722,315.14389,11.0,0.18332170783719254
Tol 0.01%,Sample_0072,7600,6200.0,102.89961,103.03443,1.2258064516129032,0.13102090474395853
Tol 0.01%,Sample_0073,7600,5600.0,102.89961,103.02642,1.3571428571428572,0.12323661868106797
Tol 0.01%,Sample_0074,7600,6600.0,102.89961,103.06522,1.1515151515151516,0.16094327276847883
Tol 0.01%,Sample_0075,7600,5800.0,102.89961,102.95287,1.3103448275862069,0.05175918548185824
Tol 0.01%,Sample_0080,8800,5400.0,59.644586,59.986009,1.6296296296296295,0.5724291555984746
Tol 0.01%,Sample_0081,8800,5800.0,59.644586,59.819627,1.5172413793103448,0.293473409304912
Tol 0.01%,Sample_0082,8800,8400.0,59.644586,60.051916,1.0476190476190477,0.6829287070581759
Tol 0.01%,Sample_0083,8800,6000.0,59.644586,60.134865,1.4666666666666666,0.8220008434629776
Tol 0.01%,Sample_0084,2800,1200.0,418.32043,417.22313,2.3333333333333335,0.2623108797244164
Tol 0.01%,Sample_0085,2800,1200.0,418.32043,417.31713,2.3333333333333335,0.23984006709879493
Tol 0.01%,Sample_0086,2800,1600.0,418.32043,417.23452,1.75,0.25958808657755794
