Dataset,Sample,Standard_Timesteps,NN_Started_Timesteps,Standard_Permeability,NN_Permeability,Speedup_Ratio,Perm_Error [%]
512³ Sandstone,Sample_00000,1400,1200.0,466.07334,454.678,1.1666666666666667,2.444967137575382
512³ Sandstone,Sample_00001,1400,1000.0,499.68244,512.51687,1.4,2.568517316718205
512³ Sandstone,Sample_00002,1400,1200.0,552.35928,577.80099,1.1666666666666667,4.60600752466763
512³ Sandstone,Sample_00003,1400,1200.0,697.10128,652.54521,1.1666666666666667,6.391620741250107
512³ Sandstone,Sample_00004,1400,1200.0,577.75933,582.44976,1.1666666666666667,0.8118311131384053
512³ Sandstone,Sample_00005,1400,800.0,632.19403,674.98571,1.75,6.7687573702649555
512³ Sandstone,Sample_00006,1800,1200.0,697.71407,714.87032,1.5,2.4589227504040445
512³ Sandstone,Sample_00007,1600,1200.0,707.85839,713.61332,1.3333333333333333,0.8130058329887223
512³ Pre-salt,Sample_00000,4600,3400.0,70.137293,61.664302,1.3529411764705883,12.080578872640553
512³ Pre-salt,Sample_00001,5200,3600.0,92.192738,75.101429,1.4444444444444444,18.538671668477846
512³ Pre-salt,Sample_00002,5200,4200.0,26.789971,25.936448,1.2380952380952381,3.1859795592910594
512³ Pre-salt,Sample_00003,6200,2200.0,31.19096,40.576254,2.8181818181818183,30.08978883625255
512³ Pre-salt,Sample_00004,6400,2400.0,36.615592,32.893365,2.6666666666666665,10.165688431310894
512³ Pre-salt,Sample_00005,5600,2200.0,45.741618,53.221877,2.5454545454545454,16.3532890331951
512³ Pre-salt,Sample_00007,9800,3600.0,15.993046,16.139887,2.7222222222222223,0.918155303248687
512³ Pre-salt,Sample_00009,5800,7600.0,20.745447,8.5961201,0.7631578947368421,58.56382318491378
512³ Pre-salt,Sample_00010,4400,4000.0,54.161416,34.687693,1.1,35.95497392461083
512³ Pre-salt,Sample_00011,10600,2200.0,10.258563,18.459203,4.818181818181818,79.93946130661769
