Dataset,Sample,Standard_Timesteps,NN_Started_Timesteps,Standard_Permeability,NN_Permeability,Speedup_Ratio,Perm_Error [%]
Tol 1%,Sample_0000,2400,2000,99.30959,97.377028,1.2,1.9459973603757748
Tol 1%,Sample_0001,2400,1600,99.30959,97.124248,1.5,2.200534711703075
Tol 1%,Sample_0002,2400,1600,99.30959,96.633253,1.5,2.694943157050597
Tol 1%,Sample_0003,2400,1600,99.30959,96.722857,1.5,2.6047162212632187
Tol 1%,Sample_0004,600,400,393.82351,384.1082,1.5,2.4669197631192685
Tol 1%,Sample_0005,600,400,393.82351,384.25188,1.5,2.4304364155405476
Tol 1%,Sample_0006,600,400,393.82351,384.55835,1.5,2.352617292959473
Tol 1%,Sample_0007,600,400,393.82351,384.17593,1.5,2.449721704019144
Tol 1%,Sample_0008,2200,600,283.48244,290.83048,3.6666666666666665,2.592061786966426
Tol 1%,Sample_0009,2200,600,283.48244,292.44979,3.6666666666666665,3.16328235357365
Tol 1%,Sample_0010,2200,600,283.48244,297.54928,3.6666666666666665,4.962155680612885
Tol 1%,Sample_0011,2200,1400,283.48244,284.33008,1.5714285714285714,0.29900970232936214
Tol 1%,Sample_0012,3200,2800,263.75132,261.45984,1.1428571428571428,0.8688032348046771
Tol 1%,Sample_0013,3200,2600,263.75132,262.41936,1.2307692307692308,0.5050060033822912
Tol 1%,Sample_0014,3200,2800,263.75132,261.0236,1.1428571428571428,1.034201459162378
Tol 1%,Sample_0015,3200,2600,263.75132,261.65664,1.2307692307692308,0.7941874944929335
Tol 1%,Sample_0016,2600,1800,110.31652,109.16788,1.4444444444444444,1.0412221125176904
Tol 1%,Sample_0017,2600,1800,110.31652,107.92,1.4444444444444444,2.1724035529764674
Tol 1%,Sample_0018,2600,1600,110.31652,107.84093,1.625,2.2440791279492833
Tol 1%,Sample_0019,2600,1800,110.31652,107.90729,1.4444444444444444,2.1839249461458663
Tol 1%,Sample_0020,2000,1400,99.050006,99.462645,1.4285714285714286,0.416596643113781
Tol 1%,Sample_0021,2000,1400,99.050006,99.932949,1.4285714285714286,0.8914113543819446
Tol 1%,Sample_0022,2000,1600,99.050006,99.485015,1.25,0.439181195001652
Tol 1%,Sample_0023,2000,1400,99.050006,99.739251,1.4285714285714286,0.695855586318692
Tol 1%,Sample_0024,1600,1000,327.95732,326.83186,1.6,0.3431727030822107
Tol 1%,Sample_0025,1600,1000,327.95732,327.45977,1.6,0.15171181420801638
Tol 1%,Sample_0026,1600,800,327.95732,325.85351,2.0,0.6414889595999728
Tol 1%,Sample_0027,1600,800,327.95732,326.69073,2.0,0.38620574164955607
Tol 1%,Sample_0028,2200,1600,543.56757,544.85757,1.375,0.2373210013246308
Tol 1%,Sample_0029,2200,1600,543.56757,544.52917,1.375,0.17690532935950828
Tol 1%,Sample_0030,2200,1600,543.56757,541.78612,1.375,0.3277329440385973
Tol 1%,Sample_0031,2200,1600,543.56757,543.12699,1.375,0.08105340059195734
Tol 1%,Sample_0032,2800,2000,273.18406,273.1229,1.4,0.022387836244901173
Tol 1%,Sample_0033,2800,2000,273.18406,271.67668,1.4,0.5517818279734228
Tol 1%,Sample_0034,2800,2000,273.18406,273.17757,1.4,0.0023756876590768986
Tol 1%,Sample_0035,2800,2200,273.18406,272.21204,1.2727272727272727,0.3558113895810709
Tol 1%,Sample_0036,4200,3600,66.896823,64.637591,1.1666666666666667,3.377188779204055
Tol 1%,Sample_0037,4200,3600,66.896823,64.707733,1.1666666666666667,3.272337761092172
Tol 1%,Sample_0038,4200,3600,66.896823,64.543473,1.1666666666666667,3.517880064349232
Tol 1%,Sample_0039,4200,3400,66.896823,64.273739,1.2352941176470589,3.9210890478311526
Tol 1%,Sample_0040,2800,1600,157.09211,155.61566,1.75,0.9398626067216234
Tol 1%,Sample_0041,2800,1600,157.09211,155.69763,1.75,0.8876830287657269
Tol 1%,Sample_0042,2800,1600,157.09211,155.93831,1.75,0.7344735518543801
Tol 1%,Sample_0043,2800,1400,157.09211,154.85901,2.0,1.421522697734456
Tol 1%,Sample_0044,4000,3200,59.216441,53.930137,1.25,8.927088340212816
Tol 1%,Sample_0045,4000,3000,59.216441,54.325912,1.3333333333333333,8.258735103651366
Tol 1%,Sample_0046,4000,3000,59.216441,54.550332,1.3333333333333333,7.879752516703943
Tol 1%,Sample_0047,4000,3200,59.216441,54.67553,1.25,7.668328125292097
Tol 1%,Sample_0048,1400,1200,291.80732,288.49172,1.1666666666666667,1.1362292076840352
Tol 1%,Sample_0049,1400,400,291.80732,307.13702,3.5,5.253363760717176
Tol 1%,Sample_0050,1400,1200,291.80732,289.00937,1.1666666666666667,0.958834754385193
Tol 1%,Sample_0051,1400,1200,291.80732,288.58877,1.1666666666666667,1.1029709604268987
Tol 1%,Sample_0052,1000,800,489.25619,483.00567,1.25,1.2775556299042419
Tol 1%,Sample_0053,1000,800,489.25619,482.1198,1.25,1.4586202782636242
Tol 1%,Sample_0054,1000,800,489.25619,481.88976,1.25,1.5056385898766003
Tol 1%,Sample_0055,1000,800,489.25619,485.31897,1.25,0.8047358583240459
Tol 1%,Sample_0056,1400,400,195.47041,190.85706,3.5,2.3601270391769256
Tol 1%,Sample_0057,1400,600,195.47041,189.3471,2.3333333333333335,3.13260201377793
Tol 1%,Sample_0058,1400,800,195.47041,186.42063,1.75,4.629744215505559
Tol 1%,Sample_0059,1400,400,195.47041,191.27356,3.5,2.147051310732905
Tol 1%,Sample_0060,1800,800,201.97034,203.66046,2.25,0.8368159403999654
Tol 1%,Sample_0061,1800,1000,201.97034,201.43795,1.8,0.2635981104948342
Tol 1%,Sample_0062,1800,1000,201.97034,202.87783,1.8,0.44931844943173127
Tol 1%,Sample_0063,1800,600,201.97034,206.181,3.0,2.0847912619249036
Tol 1%,Sample_0064,1400,400,322.99871,316.2688,3.5,2.083571788878048
Tol 1%,Sample_0065,1400,400,322.99871,316.05761,3.5,2.148955950938629
Tol 1%,Sample_0066,1400,400,322.99871,318.69461,3.5,1.332544021615444
Tol 1%,Sample_0067,1400,400,322.99871,315.17504,3.5,2.4221985282851417
Tol 1%,Sample_0068,9200,7800,28.534294,24.2801,1.1794871794871795,14.90905644975831
Tol 1%,Sample_0069,9200,8200,28.534294,24.203822,1.1219512195121952,15.176376888806152
Tol 1%,Sample_0070,9200,8400,28.534294,24.791225,1.0952380952380953,13.11779082391174
Tol 1%,Sample_0071,9200,400,28.534294,62.022394,23.0,117.36088511599412
Tol 1%,Sample_0072,2800,1400,113.18198,111.84653,2.0,1.179913975705315
Tol 1%,Sample_0073,2800,1200,113.18198,111.19002,2.3333333333333335,1.7599621423834357
Tol 1%,Sample_0074,2800,1600,113.18198,112.49537,1.75,0.6066425061657357
Tol 1%,Sample_0075,2800,1200,113.18198,111.86915,2.3333333333333335,1.1599284621103034
Tol 1%,Sample_0076,6600,5600,35.915689,35.90288,1.1785714285714286,0.03566407983986381
Tol 1%,Sample_0077,6600,6000,35.915689,35.833843,1.1,0.22788369728894453
Tol 1%,Sample_0078,6600,5400,35.915689,35.574394,1.2222222222222223,0.9502671659730719
Tol 1%,Sample_0079,6600,5600,35.915689,35.943211,1.1785714285714286,0.07662946407626373
Tol 1%,Sample_0080,2000,1400,64.153337,61.775212,1.4285714285714286,3.706938892360331
Tol 1%,Sample_0081,2000,1400,64.153337,62.304957,1.4285714285714286,2.8811907321360257
Tol 1%,Sample_0082,2000,1400,64.153337,62.810768,1.4285714285714286,2.092750062245383
Tol 1%,Sample_0083,2000,1200,64.153337,61.908136,1.6666666666666667,3.4997415644956935
Tol 1%,Sample_0084,1200,400,432.5973,429.79285,3.0,0.6482819009734991
Tol 1%,Sample_0085,1200,800,432.5973,423.91173,1.5,2.0077725866527696
Tol 1%,Sample_0086,1200,800,432.5973,427.30338,1.5,1.2237524367350452
Tol 1%,Sample_0087,1200,800,432.5973,424.35795,1.5,1.9046235378722893
Tol 1%,Sample_0088,1800,1400,351.20395,345.13845,1.2857142857142858,1.727059163201337
Tol 1%,Sample_0089,1800,1200,351.20395,346.48007,1.5,1.3450532091111185
Tol 1%,Sample_0090,1800,1200,351.20395,344.67417,1.5,1.8592558540415096
Tol 1%,Sample_0091,1800,1400,351.20395,344.99204,1.2857142857142858,1.7687471909128714
Tol 1%,Sample_0092,1600,400,424.7167,421.78748,4.0,0.6896879731830622
Tol 1%,Sample_0093,1600,400,424.7167,418.30788,4.0,1.5089635043783283
Tol 1%,Sample_0094,1600,800,424.7167,422.09417,2.0,0.6174774855803842
Tol 1%,Sample_0095,1600,800,424.7167,421.786,2.0,0.6900364407615716
Tol 1%,Sample_0096,800,400,314.12801,308.96221,2.0,1.6444888184278728
Tol 1%,Sample_0097,800,800,314.12801,305.8908,1.0,2.6222462619618048
Tol 1%,Sample_0098,800,400,314.12801,308.07678,2.0,1.9263579838041287
Tol 1%,Sample_0099,800,800,314.12801,304.71993,1.0,2.994982841549227
Tol 0.01%,Sample_0000,9400,8800,94.22698,92.104759,1.0681818181818181,2.2522434657249932
Tol 0.01%,Sample_0001,9400,8200,94.22698,92.240904,1.146341463414634,2.107757247446535
Tol 0.01%,Sample_0002,9400,8200,94.22698,92.194589,1.146341463414634,2.1569098362273778
Tol 0.01%,Sample_0003,9400,8200,94.22698,92.225119,1.146341463414634,2.1245093496575937
Tol 0.01%,Sample_0004,3600,2600,389.01373,388.67346,1.3846153846153846,0.08746992040615952
Tol 0.01%,Sample_0005,3600,2400,389.01373,388.94651,1.5,0.01727959576131677
Tol 0.01%,Sample_0006,3600,2600,389.01373,388.53649,1.3846153846153846,0.12267947457792679
Tol 0.01%,Sample_0007,3600,2600,389.01373,388.65067,1.3846153846153846,0.09332832545525285
Tol 0.01%,Sample_0008,8400,7400,270.22346,269.04417,1.135135135135135,0.4364128858389943
Tol 0.01%,Sample_0009,8400,7600,270.22346,268.83832,1.105263157894737,0.5125905796632085
Tol 0.01%,Sample_0010,8400,8000,270.22346,269.02301,1.05,0.44424344207567673
Tol 0.01%,Sample_0011,8400,8000,270.22346,269.07356,1.05,0.4255367021057322
Tol 0.01%,Sample_0012,8600,8000,253.9334,251.78901,1.075,0.8444694553768884
Tol 0.01%,Sample_0013,8600,7600,253.9334,251.66125,1.131578947368421,0.8947818601255331
Tol 0.01%,Sample_0014,8600,7600,253.9334,251.67479,1.131578947368421,0.8894497533605286
Tol 0.01%,Sample_0015,8600,7600,253.9334,251.74125,1.131578947368421,0.8632775365509217
Tol 0.01%,Sample_0016,15400,12800,103.4355,102.76761,1.203125,0.6457067447829805
Tol 0.01%,Sample_0017,15400,12000,103.4355,102.76952,1.2833333333333334,0.6438601833993209
Tol 0.01%,Sample_0018,15400,11800,103.4355,102.73948,1.305084745762712,0.6729024367842803
Tol 0.01%,Sample_0019,15400,11800,103.4355,102.75047,1.305084745762712,0.662277457932719
Tol 0.01%,Sample_0020,5200,4000,97.123213,97.914573,1.3,0.8148000622672947
Tol 0.01%,Sample_0021,5200,4400,97.123213,98.034291,1.1818181818181819,0.938064106260559
Tol 0.01%,Sample_0022,5200,4600,97.123213,97.845285,1.1304347826086956,0.7434597535400699
