Dataset,Sample,Standard_Timesteps,NN_Started_Timesteps,Speedup_Ratio
Sph. Pore,Sample_0014,1000.0,600.0,1.6666666666666667
Sph. Pore,Sample_0100,400.0,400.0,1.0
Sph. Pore,Sample_0016,1400.0,1000.0,1.4
Sph. Pore,Sample_0005,1400.0,1000.0,1.4
Sph. Pore,Sample_0029,1800.0,1400.0,1.2857142857142858
Sph. Pore,Sample_0056,1000.0,800.0,1.25
Sph. Pore,Sample_0013,1000.0,600.0,1.6666666666666667
Sph. Pore,Sample_0042,800.0,600.0,1.3333333333333333
Sph. Pore,Sample_0098,400.0,400.0,1.0
Sph. Pore,Sample_0120,800.0,400.0,2.0
Sph. Pore,Sample_0007,1400.0,1000.0,1.4
Sph. Pore,Sample_0058,1000.0,800.0,1.25
Sph. Pore,Sample_0119,600.0,400.0,1.5
Sph. Pore,Sample_0044,800.0,600.0,1.3333333333333333
Sph. Pore,Sample_0045,800.0,600.0,1.3333333333333333
Sph. Pore,Sample_0038,800.0,600.0,1.3333333333333333
Sph. Pore,Sample_0040,800.0,400.0,2.0
Sph. Pore,Sample_0076,400.0,400.0,1.0
Sph. Pore,Sample_0046,800.0,600.0,1.3333333333333333
Sph. Pore,Sample_0097,400.0,400.0,1.0
Sph. Pore,Sample_0047,800.0,600.0,1.3333333333333333
Sph. Pore,Sample_0118,600.0,400.0,1.5
Sph. Pore,Sample_0103,400.0,400.0,1.0
Sph. Pore,Sample_0009,1600.0,1400.0,1.1428571428571428
Sph. Pore,Sample_0079,400.0,400.0,1.0
Sph. Pore,Sample_0122,800.0,400.0,2.0
Sph. Pore,Sample_0000,1400.0,800.0,1.75
Sph. Pore,Sample_0101,400.0,400.0,1.0
Sph. Pore,Sample_0030,1800.0,1400.0,1.2857142857142858
Sph. Pore,Sample_0085,800.0,800.0,1.0
Sph. Grain,Sample_0000,1000.0,800.0,1.25
Sph. Grain,Sample_0053,600.0,600.0,1.0
Sph. Grain,Sample_0112,600.0,400.0,1.5
Sph. Grain,Sample_0030,1200.0,600.0,2.0
Sph. Grain,Sample_0088,1000.0,600.0,1.6666666666666667
Sph. Grain,Sample_0052,600.0,600.0,1.0
Sph. Grain,Sample_0050,600.0,400.0,1.5
Sph. Grain,Sample_0117,800.0,400.0,2.0
Sph. Grain,Sample_0037,1200.0,800.0,1.5
Sph. Grain,Sample_0123,1000.0,400.0,2.5
Sph. Grain,Sample_0094,1000.0,600.0,1.6666666666666667
Sph. Grain,Sample_0011,800.0,400.0,2.0
Sph. Grain,Sample_0042,800.0,600.0,1.3333333333333333
Sph. Grain,Sample_0041,800.0,600.0,1.3333333333333333
Sph. Grain,Sample_0070,1000.0,600.0,1.6666666666666667
Sph. Grain,Sample_0001,1000.0,800.0,1.25
Sph. Grain,Sample_0029,1200.0,800.0,1.5
Sph. Grain,Sample_0085,800.0,400.0,2.0
Sph. Grain,Sample_0054,600.0,600.0,1.0
Sph. Grain,Sample_0098,400.0,600.0,0.6666666666666666
Sph. Grain,Sample_0058,800.0,400.0,2.0
Sph. Grain,Sample_0073,1000.0,400.0,2.5
Sph. Grain,Sample_0079,800.0,600.0,1.3333333333333333
Sph. Grain,Sample_0103,800.0,600.0,1.3333333333333333
Sph. Grain,Sample_0092,1000.0,800.0,1.25
Sph. Grain,Sample_0033,1800.0,1600.0,1.125
Sph. Grain,Sample_0091,1000.0,600.0,1.6666666666666667
Sph. Grain,Sample_0022,600.0,600.0,1.0
Sph. Grain,Sample_0024,3800.0,3200.0,1.1875
Sph. Grain,Sample_0034,1800.0,1400.0,1.2857142857142858
Leopard,Sample_0101,1200.0,1200.0,1.0
Leopard,Sample_0138,1800.0,1000.0,1.8
Leopard,Sample_0120,1200.0,600.0,2.0
Leopard,Sample_0119,600.0,600.0,1.0
Leopard,Sample_0001,1600.0,1200.0,1.3333333333333333
Leopard,Sample_0110,1600.0,800.0,2.0
CastleGate,Sample_0191,800.0,400.0,2.0
CastleGate,Sample_0260,800.0,400.0,2.0
CastleGate,Sample_0262,800.0,400.0,2.0
CastleGate,Sample_0180,800.0,600.0,1.3333333333333333
CastleGate,Sample_0238,800.0,400.0,2.0
CastleGate,Sample_0149,2000.0,1600.0,1.25
CastleGate,Sample_0034,2200.0,1600.0,1.375
CastleGate,Sample_0236,800.0,600.0,1.3333333333333333
CastleGate,Sample_0164,1000.0,800.0,1.25
CastleGate,Sample_0009,1400.0,1000.0,1.4
CastleGate,Sample_0080,1400.0,1200.0,1.1666666666666667
CastleGate,Sample_0256,1600.0,800.0,2.0
CastleGate,Sample_0247,1200.0,1000.0,1.2
CastleGate,Sample_0135,3000.0,2600.0,1.1538461538461537
CastleGate,Sample_0040,1000.0,400.0,2.5
CastleGate,Sample_0195,800.0,600.0,1.3333333333333333
CastleGate,Sample_0215,3200.0,1600.0,2.0
CastleGate,Sample_0190,800.0,400.0,2.0
CastleGate,Sample_0188,800.0,400.0,2.0
CastleGate,Sample_0045,800.0,600.0,1.3333333333333333
CastleGate,Sample_0240,800.0,600.0,1.3333333333333333
CastleGate,Sample_0066,1000.0,600.0,1.6666666666666667
CastleGate,Sample_0171,3200.0,3000.0,1.0666666666666667
CastleGate,Sample_0070,2600.0,2000.0,1.3
CastleGate,Sample_0208,1000.0,400.0,2.5
CastleGate,Sample_0131,3400.0,2200.0,1.5454545454545454
CastleGate,Sample_0209,1000.0,400.0,2.5
CastleGate,Sample_0017,2800.0,400.0,7.0
CastleGate,Sample_0151,2000.0,1600.0,1.25
CastleGate,Sample_0137,600.0,600.0,1.0
Berea Upper Gray,Sample_0023,2000.0,1400.0,1.4285714285714286
Berea Upper Gray,Sample_0058,1400.0,800.0,1.75
Berea Upper Gray,Sample_0000,2400.0,2000.0,1.2
Berea Upper Gray,Sample_0107,2000.0,1200.0,1.6666666666666667
Berea Upper Gray,Sample_0175,1600.0,600.0,2.6666666666666665
Berea Upper Gray,Sample_0189,2200.0,400.0,5.5
Berea Upper Gray,Sample_0040,2800.0,1600.0,1.75
Berea Upper Gray,Sample_0132,1200.0,800.0,1.5
Berea Upper Gray,Sample_0125,2000.0,1600.0,1.25
Berea Upper Gray,Sample_0122,1600.0,600.0,2.6666666666666665
Berea Upper Gray,Sample_0129,1800.0,1200.0,1.5
Berea Upper Gray,Sample_0120,1600.0,600.0,2.6666666666666665
Berea Upper Gray,Sample_0191,2200.0,1000.0,2.2
Berea Upper Gray,Sample_0070,9200.0,8400.0,1.0952380952380953
Berea Upper Gray,Sample_0214,4200.0,3600.0,1.1666666666666667
Berea Upper Gray,Sample_0066,1400.0,400.0,3.5
Berea Upper Gray,Sample_0198,1800.0,1200.0,1.5
Berea Upper Gray,Sample_0131,1800.0,1200.0,1.5
Berea Upper Gray,Sample_0001,2400.0,1600.0,1.5
Berea Upper Gray,Sample_0138,1400.0,1200.0,1.1666666666666667
Berea Upper Gray,Sample_0004,600.0,400.0,1.5
Berea Upper Gray,Sample_0009,2200.0,600.0,3.6666666666666665
Berea Upper Gray,Sample_0076,6600.0,5600.0,1.1785714285714286
Berea Upper Gray,Sample_0030,2200.0,1600.0,1.375
Berea Upper Gray,Sample_0021,2000.0,1400.0,1.4285714285714286
Berea Upper Gray,Sample_0151,1800.0,1200.0,1.5
Berea Upper Gray,Sample_0069,9200.0,8200.0,1.1219512195121952
Berea Upper Gray,Sample_0081,2000.0,1400.0,1.4285714285714286
Berea Upper Gray,Sample_0186,1000.0,800.0,1.25
Berea Upper Gray,Sample_0223,800.0,600.0,1.3333333333333333
Berea Sinter Gray,Sample_0183,1400.0,1200.0,1.1666666666666667
Berea Sinter Gray,Sample_0007,3000.0,800.0,3.75
Berea Sinter Gray,Sample_0067,1400.0,600.0,2.3333333333333335
Berea Sinter Gray,Sample_0126,11400.0,11400.0,1.0
Berea Sinter Gray,Sample_0159,1600.0,1400.0,1.1428571428571428
Berea Sinter Gray,Sample_0182,1400.0,1200.0,1.1666666666666667
Berea Sinter Gray,Sample_0143,1800.0,1200.0,1.5
Berea Sinter Gray,Sample_0125,11400.0,12400.0,0.9193548387096774
Berea Sinter Gray,Sample_0174,4200.0,3000.0,1.4
Berea Sinter Gray,Sample_0033,1800.0,800.0,2.25
Berea Sinter Gray,Sample_0171,1400.0,800.0,1.75
Berea Sinter Gray,Sample_0081,2400.0,1800.0,1.3333333333333333
Berea Sinter Gray,Sample_0140,1800.0,1000.0,1.8
Berea Sinter Gray,Sample_0060,1600.0,400.0,4.0
Berea Sinter Gray,Sample_0152,1600.0,1200.0,1.3333333333333333
Berea Sinter Gray,Sample_0113,1600.0,600.0,2.6666666666666665
Berea Sinter Gray,Sample_0166,1400.0,600.0,2.3333333333333335
Berea Sinter Gray,Sample_0091,1200.0,800.0,1.5
Berea Sinter Gray,Sample_0154,1600.0,1000.0,1.6
Berea Sinter Gray,Sample_0073,400.0,600.0,0.6666666666666666
Berea Sinter Gray,Sample_0107,800.0,600.0,1.3333333333333333
Berea Sinter Gray,Sample_0027,1600.0,1000.0,1.6
Berea Sinter Gray,Sample_0015,1800.0,600.0,3.0
Berea Sinter Gray,Sample_0122,5000.0,4400.0,1.1363636363636365
Berea Sinter Gray,Sample_0169,1400.0,1000.0,1.4
Berea Sinter Gray,Sample_0077,1400.0,600.0,2.3333333333333335
Berea Sinter Gray,Sample_0111,2400.0,1000.0,2.4
Berea Sinter Gray,Sample_0189,2400.0,1600.0,1.5
Berea Sinter Gray,Sample_0042,2800.0,2200.0,1.2727272727272727
Berea Sinter Gray,Sample_0034,1800.0,800.0,2.25
Berea,Sample_0080,1200.0,400.0,3.0
Berea,Sample_0153,1400.0,400.0,3.5
Berea,Sample_0007,2200.0,1400.0,1.5714285714285714
Berea,Sample_0098,1800.0,600.0,3.0
Berea,Sample_0113,1000.0,600.0,1.6666666666666667
Berea,Sample_0033,1800.0,1000.0,1.8
Berea,Sample_0034,1800.0,800.0,2.25
Berea,Sample_0143,4000.0,3000.0,1.3333333333333333
Berea,Sample_0045,1200.0,400.0,3.0
Berea,Sample_0131,600.0,600.0,1.0
Berea,Sample_0107,3600.0,3400.0,1.0588235294117647
Berea,Sample_0066,1600.0,400.0,4.0
Berea,Sample_0101,1400.0,600.0,2.3333333333333335
Berea,Sample_0127,1200.0,600.0,2.0
Berea,Sample_0140,4000.0,3000.0,1.3333333333333333
Berea,Sample_0022,2600.0,1800.0,1.4444444444444444
Berea,Sample_0048,1400.0,600.0,2.3333333333333335
Berea,Sample_0194,2200.0,1800.0,1.2222222222222223
Berea,Sample_0111,1400.0,800.0,1.75
Berea,Sample_0081,1200.0,400.0,3.0
Berea,Sample_0118,34.0,1800.0,0.01888888888888889
Berea,Sample_0165,3200.0,2400.0,1.3333333333333333
Berea,Sample_0084,1800.0,400.0,4.5
Berea,Sample_0114,1000.0,600.0,1.6666666666666667
Berea,Sample_0012,1400.0,600.0,2.3333333333333335
Berea,Sample_0152,1400.0,600.0,2.3333333333333335
Berea,Sample_0186,1400.0,800.0,1.75
Berea,Sample_0095,2000.0,800.0,2.5
Berea,Sample_0068,1400.0,400.0,3.5
Berea,Sample_0019,1000.0,400.0,2.5
Bentheimer,Sample_0159,800.0,600.0,1.3333333333333333
Bentheimer,Sample_0057,1600.0,1000.0,1.6
Bentheimer,Sample_0179,800.0,800.0,1.0
Bentheimer,Sample_0048,2000.0,1200.0,1.6666666666666667
Bentheimer,Sample_0276,2200.0,1600.0,1.375
Bentheimer,Sample_0105,1200.0,800.0,1.5
Bentheimer,Sample_0164,1000.0,600.0,1.6666666666666667
Bentheimer,Sample_0299,600.0,400.0,1.5
Bentheimer,Sample_0294,1800.0,1200.0,1.5
Bentheimer,Sample_0304,600.0,400.0,1.5
Bentheimer,Sample_0167,1000.0,600.0,1.6666666666666667
Bentheimer,Sample_0180,2000.0,1400.0,1.4285714285714286
Bentheimer,Sample_0189,400.0,600.0,0.6666666666666666
Bentheimer,Sample_0274,4200.0,3600.0,1.1666666666666667
Bentheimer,Sample_0387,1000.0,600.0,1.6666666666666667
Bentheimer,Sample_0070,1400.0,600.0,2.3333333333333335
Bentheimer,Sample_0265,800.0,600.0,1.3333333333333333
Bentheimer,Sample_0042,1200.0,600.0,2.0
Bentheimer,Sample_0201,800.0,800.0,1.0
Bentheimer,Sample_0111,800.0,600.0,1.3333333333333333
Bentheimer,Sample_0129,4000.0,3600.0,1.1111111111111112
Bentheimer,Sample_0071,1400.0,400.0,3.5
Bentheimer,Sample_0359,1400.0,1000.0,1.4
Bentheimer,Sample_0349,1400.0,1200.0,1.1666666666666667
Bentheimer,Sample_0029,800.0,800.0,1.0
Bentheimer,Sample_0216,600.0,800.0,0.75
Bentheimer,Sample_0031,800.0,800.0,1.0
Bentheimer,Sample_0002,2200.0,1200.0,1.8333333333333333
Bentheimer,Sample_0337,600.0,600.0,1.0
Bentheimer,Sample_0079,1400.0,1200.0,1.1666666666666667
