Dataset,Sample,Standard_Timesteps,NN_Started_Timesteps,Speedup_Ratio
256 cubic,Sample_00000,1800.0,600.0,3.0
256 cubic,Sample_00001,1000.0,800.0,1.25
256 cubic,Sample_00002,2200.0,2400.0,0.9166666666666666
256 cubic,Sample_00003,1400.0,600.0,2.3333333333333335
256 cubic,Sample_00004,1400.0,800.0,1.75
256 cubic,Sample_00005,1400.0,1000.0,1.4
256 cubic,Sample_00006,2000.0,400.0,5.0
256 cubic,Sample_00007,1400.0,1000.0,1.4
256 cubic,Sample_00008,1600.0,1400.0,1.1428571428571428
256 cubic,Sample_00009,1600.0,600.0,2.6666666666666665
256 cubic,Sample_00010,1600.0,1600.0,1.0
256 cubic,Sample_00011,1000.0,800.0,1.25
256 cubic,Sample_00012,1600.0,800.0,2.0
256 cubic,Sample_00013,1400.0,1200.0,1.1666666666666667
256 cubic,Sample_00014,1200.0,800.0,1.5
256 cubic,Sample_00015,1600.0,1400.0,1.1428571428571428
256 cubic,Sample_00016,1400.0,1000.0,1.4
256 cubic,Sample_00017,3000.0,600.0,5.0
256 cubic,Sample_00018,1400.0,1400.0,1.0
256 cubic,Sample_00019,2000.0,2400.0,0.8333333333333334
256 cubic,Sample_00020,1200.0,600.0,2.0
256 cubic,Sample_00021,2200.0,600.0,3.6666666666666665
256 cubic,Sample_00022,1400.0,1800.0,0.7777777777777778
256 cubic,Sample_00023,1600.0,600.0,2.6666666666666665
256 cubic,Sample_00024,1000.0,800.0,1.25
256 cubic,Sample_00025,1200.0,1000.0,1.2
256 cubic,Sample_00026,1800.0,600.0,3.0
256 cubic,Sample_00027,2200.0,2000.0,1.1
256 cubic,Sample_00028,1200.0,1000.0,1.2
256 cubic,Sample_00029,1400.0,1000.0,1.4
256 cubic,Sample_00030,1400.0,1400.0,1.0
256 cubic,Sample_00031,800.0,600.0,1.3333333333333333
256 cubic,Sample_00032,1600.0,800.0,2.0
256 cubic,Sample_00033,3000.0,600.0,5.0
256 cubic,Sample_00034,1400.0,600.0,2.3333333333333335
256 cubic,Sample_00035,1800.0,1600.0,1.125
256 cubic,Sample_00036,1200.0,1400.0,0.8571428571428571
256 cubic,Sample_00037,1200.0,1400.0,0.8571428571428571
256 cubic,Sample_00038,1400.0,800.0,1.75
256 cubic,Sample_00039,1400.0,400.0,3.5
256 cubic,Sample_00040,1600.0,1000.0,1.6
256 cubic,Sample_00041,1600.0,1000.0,1.6
256 cubic,Sample_00042,1600.0,800.0,2.0
256 cubic,Sample_00043,1800.0,400.0,4.5
256 cubic,Sample_00044,1600.0,600.0,2.6666666666666665
256 cubic,Sample_00045,3000.0,2600.0,1.1538461538461537
256 cubic,Sample_00046,1800.0,1000.0,1.8
256 cubic,Sample_00048,1400.0,1000.0,1.4
256 cubic,Sample_00049,1400.0,600.0,2.3333333333333335
256 cubic,Sample_00050,1200.0,600.0,2.0
256 cubic,Sample_00051,1400.0,1800.0,0.7777777777777778
256 cubic,Sample_00052,1800.0,2000.0,0.9
256 cubic,Sample_00053,1200.0,800.0,1.5
256 cubic,Sample_00054,1400.0,800.0,1.75
256 cubic,Sample_00055,1000.0,600.0,1.6666666666666667
256 cubic,Sample_00056,4000.0,3400.0,1.1764705882352942
256 cubic,Sample_00057,2000.0,600.0,3.3333333333333335
256 cubic,Sample_00058,1400.0,400.0,3.5
256 cubic,Sample_00059,2000.0,2000.0,1.0
256 cubic,Sample_00060,1400.0,1400.0,1.0
256 cubic,Sample_00061,3400.0,3000.0,1.1333333333333333
256 cubic,Sample_00062,1000.0,800.0,1.25
256 cubic,Sample_00063,2200.0,1000.0,2.2
512 cubic,Sample_00002,1400.0,1200.0,1.1666666666666667
512 cubic,Sample_00003,1400.0,1200.0,1.1666666666666667
512 cubic,Sample_00004,1400.0,1200.0,1.1666666666666667
512 cubic,Sample_00005,1400.0,800.0,1.75
512 cubic,Sample_00006,1800.0,1200.0,1.5
512 cubic,Sample_00007,1600.0,1200.0,1.3333333333333333
